date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.3126115859,,,,,,,,,
08/1963,0.3082240549,,,,,,,,,
09/1963,0.2908736942,,,,,,,,,
10/1963,0.2903929112,,,,,,,,,
11/1963,0.250267395,,,,,,,,,
12/1963,0.2784274347,,,,,,,,,
01/1964,0.2786415665,,,,,,,,,
02/1964,0.2738524145,,,,,,,,,
03/1964,0.2738524145,,,,,,,,,
04/1964,0.2734251877,,,,,,,,,
05/1964,0.2592685581,,,,,,,,,
06/1964,0.2529084348,,,,,,,,,
07/1964,0.273811261,,,,,0.4793284543,,,,
08/1964,0.2542533138,,,,,0.4712042432,,,,
09/1964,0.2506069169,,,,,0.4906067708,,,,
10/1964,0.2420850192,,,,,0.4834965278,,,,
11/1964,0.2408715605,,,,,0.4672445436,,,,
12/1964,0.25324836,,,,,0.4659393913,,,,
01/1965,0.2450280134,,,,,0.461832977,,,,
02/1965,0.2365683532,,,,,0.4763684928,,,,
03/1965,0.2422436041,,,,,0.508368819,,,,
04/1965,0.2380358988,,,,,0.5302254402,,,,
05/1965,0.2200194203,,,,,0.5277045585,,,,
06/1965,0.2336868873,,,,,0.5344808611,,,,
07/1965,0.269356328,,,0.5528102056,,,0.5201358293,,,
08/1965,0.2641763986,,,0.5579863312,,,0.5337787363,,,
09/1965,0.2598456379,,,0.5569433661,,,0.5509391356,,,
10/1965,0.2453066558,,,0.551786483,,,0.5184793458,,,
11/1965,0.2292075538,,,0.5653979143,,,0.5055978714,,,
12/1965,0.2500698919,,,0.6056193106,,,0.5095540362,,,
01/1966,0.2485193507,,,0.6044731918,,,0.5070329527,,,
02/1966,0.2503333606,,,0.6158783463,,,0.5054607575,,,
03/1966,0.2585100784,,,0.6145898979,,,0.5318469634,,,
04/1966,0.2740000299,,,0.6528310471,,,0.5525799807,,,
05/1966,0.2850055712,,,0.6485076627,,,0.5266917425,,,
06/1966,0.3117788218,,,0.6737935119,,,0.5650297896,,,
07/1966,0.348627733,,1.6942824252,,,0.7104629424,,0.6158954056,,
08/1966,0.3475483902,,1.7036690314,,,0.7202850108,,0.6114485073,,
09/1966,0.3851050773,,1.7983173109,,,0.7587468317,,0.6616063927,,
10/1966,0.3748184642,,1.8413907795,,,0.7624480358,,0.6681311106,,
11/1966,0.3824808519,,1.8304301201,,,0.693134578,,0.6059793793,,
12/1966,0.4220230452,,1.9462801277,,,0.728679941,,0.6590320487,,
01/1967,0.4258749485,,1.890925163,,,0.6978518133,,0.6693955962,,
02/1967,0.3734377668,,1.5956300005,,,0.6631853085,,0.6747294256,,
03/1967,0.387627112,,1.5956300005,,,0.6617560298,,0.6998226687,,
04/1967,0.3679280293,,1.4204998785,,,0.6396974955,,0.6615511165,,
05/1967,0.3243296212,,1.3357911702,,,0.6477949322,,0.670721132,,
06/1967,0.3562477744,,1.4487685328,,,0.6978518133,,0.6926670177,,
07/1967,1.5244132711,,0.3886647351,,,0.7134035211,,0.7105145585,,
08/1967,1.5023735611,,0.3525498703,,,0.6760017831,,0.7769655604,,
09/1967,1.5356774085,,0.357827563,,,0.6990781492,,0.7980163514,,
10/1967,1.467023595,,0.3404968833,,,0.6495166386,,0.7807099727,,
11/1967,1.5509577807,,0.3621648668,,,0.6399649233,,0.7999867622,,
12/1967,1.4844881616,,0.3734825188,,,0.6544002223,,0.8059568126,,
01/1968,1.4160590034,,0.3643425806,,,0.6454603847,,0.8013289979,,
02/1968,1.4927912646,,0.3818030876,,,0.6291491115,,0.7744258661,,
03/1968,1.5189805851,,0.3957098226,,,0.6430786121,,0.8053256513,,
04/1968,1.5620444676,,0.3996801553,,,0.6235216597,,0.8154939044,,
05/1968,1.317550551,,0.3677057428,,,0.6082872736,,0.8093623713,,
06/1968,1.3408700297,,0.3746218383,,,0.6466578994,,0.8366206895,,
07/1968,0.6738578052,,1.4041015906,,,0.8437992982,,0.3960890349,,
08/1968,0.5855888914,,1.4313656992,,,0.8334586205,,0.4042752948,,
09/1968,0.5809487259,,1.4383479709,,,0.827374981,,0.4055648492,,
10/1968,0.5893547364,,1.293251465,,,0.8039033503,,0.382965603,,
11/1968,0.5657077871,,1.2337294311,,,0.7781490095,,0.3622352713,,
12/1968,0.5406764691,,1.340278791,,,0.7424696881,,0.3852866067,,
01/1969,0.5831184009,,1.3411172688,,,0.7902166261,,0.4015927202,,
02/1969,0.5739929174,,1.4075092128,,,0.7755829849,,0.4028655973,,
03/1969,0.5887343085,,1.4251471728,,,0.8073538542,,0.409352966,,
04/1969,0.558267084,,1.3937101028,,,0.8112635581,,0.3881041098,,
05/1969,0.5660207935,,1.3669079855,,,0.7429087572,,0.3892927901,,
06/1969,0.5474350361,,1.4215843049,,,0.7412651537,,0.391089526,,
07/1969,0.6421128645,,0.8032817432,,,0.4309467322,,1.6171431452,,
08/1969,0.7146094782,,0.8320388461,,,0.4636957066,,1.7718264026,,
09/1969,0.683965847,,0.8280861675,,,0.4628962313,,1.6171431452,,
10/1969,0.7236880015,,0.8650726465,,,0.457376174,,1.7718264026,,
11/1969,0.7467267581,,0.8441265776,,,0.4474663569,,1.7267799686,,
12/1969,0.8023180862,,0.8380391263,,,0.4726757291,,1.8031861619,,
01/1970,0.8072355029,,0.8962047348,,,0.4855496189,,1.7969251699,,
02/1970,0.884200307,,0.9126273346,,,0.5244315219,,1.9838536272,,
03/1970,0.8875870792,,0.8503015654,,,0.4837998905,,1.7439185278,,
04/1970,0.8372000397,,0.826122374,,,0.4512755281,,1.6152688003,,
05/1970,0.8937939818,,0.9102444956,,,0.4837998905,,1.7387893556,,
06/1970,0.8445762515,,0.9551332653,,,0.5173582644,,1.7542681926,,
07/1970,0.5671996868,,1.792671436,,,1.1000404729,,0.9009823712,,
08/1970,0.5181953021,,1.7478546501,,,0.9837760327,,0.7956255617,,
09/1970,0.4777936345,,1.5970245534,,,0.9837760327,,0.748824058,,
10/1970,0.4885584824,,1.5198736088,,,1.0027993261,,0.7362505198,,
11/1970,0.5007073612,,1.5809740554,,,1.0461480002,,0.7097666881,,
12/1970,0.4598666303,,1.5162112627,,,1.0000367935,,0.6815721565,,
01/1971,0.4372803084,,1.3520076619,,,0.9284043125,,0.6722802627,,
02/1971,0.4286278822,,1.3520076619,,,0.8481450612,,0.6984575473,,
03/1971,0.4393268621,,1.3168905798,,,0.9260359342,,0.656619824,,
04/1971,0.4292812783,,1.2622478171,,,0.9307848364,,0.6185399909,,
05/1971,0.3960738658,,1.1566605472,,,0.9284043125,,0.6195110113,,
06/1971,0.4247488968,,1.2416396895,,,1.0027792437,,0.6501293479,,
07/1971,0.4279483821,,1.2806282497,,,1.029449375,,0.7102926363,,
08/1971,0.4411910845,,1.2704645334,,,1.0705100339,,0.6998471564,,
09/1971,0.4079688642,,1.1537191438,,,1.0922936683,,0.7553905815,,
10/1971,0.4092013986,,1.1516441094,,,1.0891275997,,0.7435876036,,
11/1971,0.4348175375,,1.1792156995,,,1.1084041944,,0.7648329637,,
12/1971,0.4341207145,,1.219645952,,,1.1249970715,,0.7773256982,,
01/1972,0.4203918105,,1.1014341735,,,1.04951713,,0.725109968,,
02/1972,0.4177967993,,1.0456182525,,,1.04951713,,0.7106559487,,
03/1972,0.4276971974,,1.115326136,,,1.0796756682,,0.7083027833,,
04/1972,0.4016800089,,1.0456182525,,,1.0859165681,,0.7612364433,,
05/1972,0.421045608,,1.0802897129,,,1.0954143806,,0.7666933354,,
06/1972,0.4460170115,,1.1591872762,,,1.1018390984,,0.7118384046,,
07/1972,1.2307729516,,1.1775380359,,,0.7640030057,,0.4963205132,,
08/1972,1.2164893197,,1.1740124729,,,0.746381849,,0.4988187708,,
09/1972,1.1668366944,,1.1203433313,,,0.6980797879,,0.4718983927,,
10/1972,1.1799718166,,1.0456537759,,,0.6980797879,,0.4726486287,,
11/1972,1.1866509024,,1.013230403,,,0.6782242251,,0.4971504806,,
12/1972,1.0429933305,,0.9610788381,,,0.6490741868,,0.4580831856,,
01/1973,0.9477477727,,0.9217992617,,,0.6463364358,,0.458567026,,
02/1973,1.0163557764,,0.9217992617,,,0.5968806136,,0.4815695791,,
03/1973,1.1434002485,,0.9773851468,,,0.6327769302,,0.5061394556,,
04/1973,1.1907600221,,0.9604920702,,,0.5992523246,,0.5148961936,,
05/1973,1.2295627926,,0.9396118078,,,0.587578578,,0.5212084061,,
06/1973,1.3181557449,,0.9510985047,,,0.6024440813,,0.5552425371,,
07/1973,0.272479975,1.0075447933,,0.6137782915,,1.4898307026,0.6065286151,,0.2993529919,
08/1973,0.254426087,1.0250891057,,0.6314063887,,1.446791149,0.5964384902,,0.2737112017,
09/1973,0.2692951441,1.0844363697,,0.6802493583,,1.4729774141,0.626549948,,0.2904926496,
10/1973,0.264824088,0.9905909146,,0.6509519431,,1.3591983654,0.6020022821,,0.2726250462,
11/1973,0.2746453787,1.0620768569,,0.639758325,,1.5538329763,0.6466397259,,0.2627208858,
12/1973,0.3175455757,1.0988955213,,0.6736174007,,1.9262012339,0.827367239,,0.2720851946,
01/1974,0.3229863878,1.0247398914,,0.6433400556,,1.947036587,0.8750438401,,0.2726250462,
02/1974,0.2937071685,1.0196543336,,0.7000506675,,1.7330765225,0.7799303792,,0.2868539108,
03/1974,0.2958020841,0.9807176526,,0.7241181792,,1.6822396112,0.7992355866,,0.3033179322,
04/1974,0.31181543,1.0298764322,,0.74413988,,1.6051904687,0.8112843643,,0.3165968278,
05/1974,0.3195027133,1.0870917895,,0.7838755047,,1.597062922,0.8386783818,,0.3367721158,
06/1974,0.3108804512,1.1166323273,,0.8352328653,,1.5237677638,0.8072279425,,0.3559663815,
07/1974,0.5336549313,1.7553716683,1.2071532007,1.4635014849,1.3206873143,0.3896889325,0.980032429,0.286249831,1.3833847655,0.8943222776
08/1974,0.6540722428,1.9660162685,1.3361072518,1.4499505452,1.3920758178,0.4463297657,0.9178600879,0.302044149,1.3368285474,1.0574205653
09/1974,0.7507471985,2.1638543836,1.3243180702,1.5871080292,1.4307445905,0.5067242224,1.0219297262,0.3171856851,1.5111974884,1.0837737258
10/1974,0.844030909,2.3325616745,1.3727687313,1.7999386078,1.6482177682,0.6141497576,1.1697833887,0.3830166764,1.6356490462,1.2206714596
11/1974,0.848468691,2.6670763333,1.2169409294,1.6368779674,1.5848247771,0.5017563379,1.0032813735,0.3220074107,1.5278040542,1.2932764534
12/1974,0.9420279595,2.7858530121,1.301353017,1.77948476,1.760916419,0.5169610754,1.0952155233,0.3435805447,1.6166298713,1.4257842868
01/1975,0.9230631861,2.5544847367,1.2511766548,1.6311943634,1.7459933985,0.5750465895,1.0634394442,0.3624979259,1.6672625952,1.4109137614
02/1975,0.7385035242,2.3198891996,1.1512115097,1.423587808,1.3378390976,0.4968849171,0.9398259704,0.3235041251,1.3258707305,1.1268986536
03/1975,0.7288828989,2.5835129723,1.1083624461,1.4192869385,1.4015457213,0.4349502532,0.8882038654,0.2767929059,1.3322146096,1.1124512349
04/1975,0.6543611236,2.2964559754,1.1308102931,1.4755821738,1.3039697533,0.4172213027,0.9287131633,0.2886817724,1.4426572715,1.0549689523
05/1975,0.6968239456,2.3682202246,1.1423786848,1.4572519604,1.2876701314,0.4172213027,0.8492962143,0.2842114174,1.4501711115,1.0089673991
06/1975,0.6567982839,2.3042142726,1.1262639217,1.2380874176,1.0730584428,0.4217408222,0.7850840897,0.2770852521,1.3450862483,0.9860363219
07/1975,0.5011617045,3.7992061544,2.0643671377,0.4200889566,1.190513497,1.2003190223,0.9688716406,1.4184151104,1.4628495882,1.1960882576
08/1975,0.5248643228,3.7239743494,2.1768486804,0.4762841609,1.2278576173,1.2603349734,1.0314423748,1.514038601,1.52738707,1.2451082681
09/1975,0.5399789608,4.3232345895,2.1492936338,0.4749234309,1.3008653675,1.383294483,1.0327380902,1.5269057846,1.5978818579,1.2764975522
10/1975,0.5334415762,4.4249577563,2.3419889251,0.5023204992,1.3114991443,1.4731188001,1.0255229241,1.5097975965,1.6573774589,1.2927932656
11/1975,0.4759823061,4.5315832444,2.1092446841,0.4553346686,1.2185321164,1.383294483,1.0080830454,1.4686586974,1.5897293994,1.2711565583
12/1975,0.4518804156,4.4776358248,1.9858970418,0.4431920263,1.1884449036,1.2744960405,1.0446381118,1.4848422643,1.6228487619,1.3208974671
01/1976,0.4527938778,4.6434741887,1.9114718853,0.4782751225,1.1826048795,1.2603349734,1.0210794922,1.4259199523,1.6679470372,1.2927932656
02/1976,0.399153991,3.3884811647,1.6948063063,0.4201443153,1.0939095136,1.0265171729,0.9636131658,1.2390752689,1.4852671236,1.2055810215
03/1976,0.3968429629,2.6302196454,1.6450809379,0.4230355742,1.048017542,0.9820792001,1.0134445062,1.2534831208,1.5595304798,1.2658600726
04/1976,0.3822849708,2.4583098646,1.475522157,0.4100138571,1.0341058048,0.9993845604,0.9408842724,1.1616330646,1.4575051213,1.1169353582
05/1976,0.389078486,2.3655434546,1.4165012708,0.4231180759,1.0077714241,1.0502791445,0.9296034182,1.1344425136,1.3986820446,1.047608336
06/1976,0.3869373598,2.5074760619,1.5326608283,0.4532150286,1.0489049872,1.0906744962,0.8815819382,1.1296859412,1.4923736648,1.0229172304
07/1976,0.751881198,0.5207589322,1.1394261787,0.3925729521,2.2731074198,1.0598063307,0.7359285505,1.2024830892,1.0492363867,1.290861876
08/1976,0.746811696,0.5416080717,1.1220493089,0.3995205069,1.9577630379,1.0633040413,0.7683993111,1.2307465806,0.9942467508,1.3384512539
09/1976,0.7506110156,0.4944922579,1.0789736119,0.3991443909,2.0526848821,1.0739370817,0.788192866,1.2494347065,0.9620444269,1.3509019633
10/1976,0.705595675,0.5075297186,1.0632712932,0.3877382996,2.130144689,1.0739370817,0.7552268798,1.170710162,0.9318626409,1.290861876
11/1976,0.7245522905,0.5009261721,1.0416160734,0.4008976342,2.1711090099,1.0921394052,0.773627661,1.1900607432,0.9814833832,1.3323115693
12/1976,0.7464661933,0.4847091377,1.0331989738,0.4014236255,2.3684825563,1.1109693949,0.8117934039,1.2024830892,0.9351140895,1.3963650101
01/1977,0.6957377373,0.4882215228,0.9978412235,0.3913976929,2.0568313871,0.982259526,0.6373444892,1.1076719225,0.8764537961,1.308219199
02/1977,0.7136247156,0.5365230148,0.9891699975,0.3948177615,2.0319000975,0.9420500717,0.6638456316,1.0766157004,0.8796999213,1.2254205155
03/1977,0.7515112717,0.5322648956,0.977420783,0.3955047897,2.1085755729,1.0036795156,0.694739215,1.0908890146,0.896298033,1.308219199
04/1977,0.7730847348,0.556559144,0.9910501564,0.4002296047,2.3120086678,1.0280071815,0.7204077638,1.0706122671,0.9347368513,1.369922605
05/1977,0.75756562,0.5841547466,0.9871174177,0.4233064954,2.3280642835,0.9931057031,0.6693068757,1.0867724523,0.8826139785,1.3508074058
06/1977,0.7706501287,0.6093796107,0.9851627298,0.4472295086,2.5195236361,0.9604962621,0.6696031029,1.0782993036,0.8696819056,1.3764151292
07/1977,0.7308665251,1.4329762436,1.0931579514,0.3267367093,0.8670492399,0.7273167077,1.8497802763,0.5880836276,1.229369023,1.0354073528
08/1977,0.7581126106,1.3659007599,1.0860892619,0.3217099907,0.8900744056,0.7406619683,1.9520045357,0.5855578289,1.2072137069,0.9994972712
09/1977,0.7945724781,1.4860418151,1.1285660631,0.3214103075,0.9648509764,0.7447615733,1.9926696316,0.5478200588,1.3372679482,1.0739939622
10/1977,0.8083969446,1.4266001425,1.0747288554,0.3314160337,0.9789814304,0.7144438456,1.8777915291,0.566004957,1.3089566139,1.0350731936
11/1977,0.8272910376,1.4791936961,1.1436713554,0.3362471712,0.9948427572,0.7502988341,2.0359817547,0.5879620458,1.3280140037,1.1152078925
12/1977,0.8344824767,1.4790571328,1.1517441123,0.3276499424,0.9777742343,0.7883999468,2.0414624992,0.566004957,1.3081172286,1.0803576458
01/1978,0.8167241917,1.4997915785,1.0951043349,0.3176630507,0.9253169066,0.8051537258,1.9496513313,0.6089606903,1.3011731936,1.1108333116
02/1978,0.8696735778,1.612841195,1.1457078592,0.3272348187,1.0024440722,0.8690822405,2.096990924,0.669757045,1.3816049008,1.1750651698
03/1978,0.899086953,1.6629813358,1.1082304763,0.3457944055,1.051181306,0.8672212507,2.1268956602,0.6973758923,1.4141690613,1.1439376156
04/1978,0.8783035834,1.612841195,1.0840419191,0.3689207829,1.0102956735,0.8231551302,1.9834091774,0.7558152128,1.3717254335,1.1180231712
05/1978,0.8143861907,1.6544092671,1.057264634,0.3266197157,0.9040623085,0.767145312,1.7994453853,0.6535793386,1.3225735233,0.9955883571
06/1978,0.8154915812,1.6716426969,1.0915037214,0.3388270397,0.9119978541,0.8237379989,1.8398134152,0.6902598117,1.3739129269,1.0312512236
07/1978,1.5244705713,2.2868698127,0.6700421995,1.8901676583,0.5209281569,1.2419438739,1.0464301097,1.0409903785,1.531021192,0.8207150333
08/1978,1.5065142794,2.1582432982,0.6380379608,1.9476036921,0.4826618413,1.217591974,1.0098050558,1.0128113164,1.4792623231,0.7949334092
09/1978,1.438947151,2.1076421703,0.6239708116,2.0029333424,0.4702752086,1.182529279,1.0304133223,0.9727814263,1.4651624124,0.8251754411
10/1978,1.3518581728,2.0889747982,0.6404380321,1.9369025729,0.488392819,1.1379337444,0.9502098396,0.9279323694,1.4115853,0.8384668465
11/1978,1.5471877313,2.3242027034,0.7208047792,2.2032266767,0.5165110242,1.1947890888,1.0095979546,0.996198378,1.5437663001,0.9368055508
12/1978,1.4418030804,2.3725849603,0.716909697,2.1429560381,0.518042139,1.177150961,0.9502098396,0.9100543704,1.4763891032,0.8874999955
01/1979,1.5032610219,2.4479544286,0.7159518617,2.0644174938,0.4845688559,1.170594233,0.8911786947,0.8765123975,1.4450695119,0.960522147
02/1979,1.4798854566,2.1946836921,0.695219475,2.1275495272,0.4667773383,1.1287418221,0.8814496697,0.8650828828,1.402513189,0.8910271838
03/1979,1.4653851077,2.3109308617,0.7265237829,2.1146160955,0.4830664718,1.160209866,0.9344998813,0.88557369,1.4105400023,0.9467163828
04/1979,1.3188097765,2.2103541194,0.6973325073,1.9820760553,0.4583247438,1.135192492,0.8516960943,0.8388484163,1.3472000128,0.9016346502
05/1979,1.2136240812,2.5096647368,0.6855765698,1.9487638527,0.4565225213,1.1624708154,0.7978338907,0.8002157839,1.2597683619,0.9236257393
