date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.007207354,-0.007042994,0.0249598392,0.0029849857,-0.008210168,-0.006877304,-0.018926417,-0.004435741,-0.008709718,-0.036145933
08/1963,0.0708170774,0.0551985632,0.0384608123,0.0492598028,0.0697209073,0.0643972091,0.0839505208,0.0580810507,0.0834782597,0.1155734833
09/1963,-0.04448683,-0.020090896,-0.031093415,0.0038454716,-0.003063212,0.0045033245,-0.025911825,-0.018824011,-0.001808519,0.0184002295
10/1963,-0.001679312,0.0046582263,0.0285522899,0.0694610838,0.0213791553,0.0077494624,0.0223657784,0.0652903005,0.0232657149,0.045502569
11/1963,-0.002247841,-0.002742923,-0.007005538,-0.005840485,-0.005378435,-0.012945234,-0.016281072,-0.008940077,0.0019212982,-0.025036861
12/1963,0.0454713607,0.0121959394,0.0399610432,0.0148179875,0.017539804,0.0271211699,0.0313944537,0.0238890226,0.0090951538,-0.000310599
01/1964,-0.003588987,0.011762164,0.0588753422,0.0358249451,0.0079977714,0.0306840824,0.0100815721,0.0402382409,0.0310106656,0.0065418865
02/1964,0.0293857408,0.0419600236,0.0080778696,0.0130704312,0.036388146,0.0189507908,0.0193613629,-0.006490994,0.0273489796,0.0694157764
03/1964,0.0158261211,0.0239131093,0.0214269,0.0045805705,0.0213364217,0.025295083,0.0484569252,0.0521665199,0.0551853068,0.038443848
04/1964,0.0608035654,0.0125361366,0.0120378018,0.0177429904,-0.006602407,0.0148424598,-0.008196256,-0.04432446,-0.029334786,0.0066858245
05/1964,0.0268226377,0.0113580024,0.0124881663,0.0157139396,0.0083340668,0.0249954624,-0.004121635,0.0023445336,0.037646566,0.0330195798
06/1964,0.0048329686,0.0146896187,0.006225843,0.0278148091,0.0139485875,0.0248455702,0.0141584337,0.0185070912,0.0198331181,0.0117197771
07/1964,0.0223756449,0.0337088782,0.0256399984,-0.004595367,0.0195982525,0.0115613611,0.0243946894,0.0310707504,0.0232114602,0.0361058116
08/1964,0.007440031,-0.021004493,-0.01972433,-0.015590612,-0.011595616,0.0013047116,-0.013468277,-0.025128712,0.0005690339,0.0123585008
09/1964,0.0421548692,0.0423631055,0.0428788652,0.0094131459,0.0265264769,0.0260327126,0.0399593346,0.0356796628,0.0613710152,0.0228745395
10/1964,0.0103564821,0.0176434943,0.0269411854,0.0042790023,0.0063488284,0.0001264306,0.0021159552,0.0115414878,-0.005676333,-0.000177181
11/1964,0.0012440512,0.0102692399,0.0325521001,-0.006146706,-0.00842174,0.012160762,0.0186358122,0.012687184,-0.018266395,0.0157337401
12/1964,0.0141863335,-0.020246034,0.0035249315,0.026599738,0.0072677647,-0.00004939,-0.001674914,-0.000270442,-0.026526636,-0.015651157
01/1965,0.0487004629,0.0776038253,0.0215435987,0.0123401672,0.035732026,0.0323214548,0.0542429783,0.0462544008,0.0539478364,0.0550585766
02/1965,0.0060574284,0.0001215395,0.0009767608,0.0083279056,-0.011045601,0.0310639062,0.0200240312,0.0048116583,0.0248972972,0.0222187788
03/1965,-0.015669886,-0.018017431,-0.026777946,-0.018495339,-0.005719461,-0.013435029,-0.007764225,-0.006604644,0.0006565935,0.0025521752
04/1965,0.0400200932,0.0403213637,0.0301939197,0.0226442074,0.0581721534,0.0575415744,0.0270421941,0.0214520157,0.0230209478,0.054078081
05/1965,-0.002927481,0.0095526931,0.007228613,0.0244448931,-0.020064052,-0.014885954,-0.004201486,0.0102178183,-0.023200023,-0.022644749
06/1965,-0.075252204,-0.058540682,-0.038570295,-0.043565024,-0.045725761,-0.054071848,-0.060624994,-0.042982035,-0.068527308,-0.050053277
07/1965,0.0283613122,0.012632246,0.020338095,0.0118668175,0.0144819228,-0.011102998,0.0141429539,0.039486561,0.0172014965,0.0702173309
08/1965,0.0498056127,0.0435360883,0.0194844115,0.021141236,0.0362523311,0.004529024,0.0275540819,0.0558980075,0.0570771204,0.0531885813
09/1965,0.0340265979,0.0403193336,0.0483509826,0.0306077011,0.0224349001,0.0457176923,0.0509921885,0.026490032,0.0252635042,0.053390801
10/1965,0.0460735151,0.0347372914,0.0390807292,0.005699752,0.0305123416,0.0192115754,0.0303779944,0.0524992407,0.0410137508,0.0741347787
11/1965,0.0069614002,0.0325356675,-0.025741812,-0.0294726,0.0124711705,0.0163683097,0.0119858004,0.0305189541,-0.00746577,0.0873800227
12/1965,-0.012024238,0.009249806,0.0163831235,0.0036405009,0.0297467528,0.0040213382,0.0103085334,0.0387887675,0.021092679,-0.000334099
01/1966,0.0145370266,0.0089067525,0.0040038304,-0.000572528,-0.003658116,0.0113209253,0.0347586579,0.0394863443,0.0141869533,0.0887426867
02/1966,0.0270420935,-0.000582837,-0.01838485,-0.01280871,-0.022937756,-0.021796043,-0.01305302,0.0145350295,0.0027214941,0.005548694
03/1966,-0.016906067,-0.009243771,-0.035225916,-0.035754164,-0.005387679,-0.028901309,-0.028049864,-0.007091315,-0.025545335,-0.035876168
04/1966,0.0589480492,0.0295252457,0.0045465095,0.0178860904,0.0316782853,0.0305564637,0.0267261262,0.0178667018,0.0111577564,0.0465442913
05/1966,-0.046941054,-0.044585911,-0.057281998,-0.052320352,-0.039834871,-0.056625514,-0.061753043,-0.075849014,-0.048076179,-0.089221508
06/1966,-0.016599311,-0.011100387,-0.01287705,-0.001434637,-0.022839087,-0.014573892,-0.007188401,0.011791675,-0.014290545,0.0081204985
07/1966,-0.035577773,-0.011726998,-0.016963852,-0.011078538,-0.002236562,-0.007879863,-0.006765151,-0.013217144,-0.024356454,-0.011131748
08/1966,-0.105332135,-0.078642476,-0.033469211,-0.074098252,-0.077988815,-0.062536557,-0.059969842,-0.061310915,-0.072980765,-0.083691476
09/1966,-0.023530366,-0.026355046,-0.014505862,-0.012963181,-0.016207702,0.0024585089,-0.002487318,-0.001391398,-0.006953724,-0.006355968
10/1966,0.0518769359,0.031612427,0.0256577262,0.0154966762,0.0415347856,0.0666827879,0.0571336461,0.0518507961,0.0152982773,0.023449573
11/1966,0.0822872111,0.0938853968,0.026693003,-0.016024733,0.0214207819,-0.008488971,-0.011191688,0.0100959526,0.0564478117,0.0315975651
12/1966,-0.029133238,0.0092264712,-0.011442783,0.0045331216,0.0068729612,0.017716548,-0.021129065,0.0077437005,0.0175794675,0.0096863849
01/1967,0.083462972,0.0826902979,0.1069265182,0.0980171622,0.0843587816,0.0665435834,0.0560532102,0.1214668908,0.10675645,0.1229606725
02/1967,0.01581258,0.0469482574,0.0094170637,-0.004131915,0.0286198686,0.0083616077,-0.000091483,-0.000450931,0.0207961204,-0.007166418
03/1967,0.0434368419,0.0595184719,0.0536938269,0.0428085675,0.0498494754,0.0338762228,0.0403736877,0.0550703177,0.0376378526,0.0650052826
04/1967,0.0731974919,0.0787899458,0.0597403855,0.0662724395,0.0252292951,0.021052948,0.0382886448,0.0366107333,0.0238879518,0.0477867382
05/1967,-0.054399063,-0.03908578,-0.046573128,-0.056286,-0.040184586,-0.054603382,-0.039405923,-0.032795052,0.0101548623,-0.015571792
06/1967,0.0416454206,0.0522946602,0.0328391793,0.001780965,0.0045791405,0.0284659292,0.0251216084,0.0368078574,0.0401421164,0.0703166604
07/1967,0.0410239946,0.0476239947,0.0542812245,0.0662302165,0.0655699938,0.058358504,0.0270031149,0.0631603763,0.0752167092,0.0827333162
08/1967,-0.01774749,-0.005700444,0.0014259829,0.0037454106,-0.009203542,-0.006853971,-0.015718471,0.0097256137,-0.000019876,-0.013537653
09/1967,0.0669781078,0.042367802,0.0409460457,0.0315417774,0.046168362,0.0239513294,0.0366872086,0.0099007095,0.0254300228,0.0282781597
10/1967,0.0390626159,-0.002511647,-0.060952435,-0.037200219,-0.046525581,-0.023731124,-0.036343334,-0.023081134,-0.012821855,-0.035762027
11/1967,0.0271411858,-0.012516921,-0.000691328,0.0147573045,0.0063546301,-0.00776643,0.003237616,-0.000768216,0.0016573986,0.0132807083
12/1967,0.0311482068,0.0197005111,0.0263666018,0.02617809,0.0377471618,0.0361305529,0.0181275641,0.0330198764,0.0687848712,0.0431194337
01/1968,-0.061233714,-0.076878813,-0.042809618,-0.071088509,-0.049501438,-0.063030177,-0.00408937,-0.009388579,-0.040396043,0.0336921629
02/1968,-0.03427153,-0.04839129,-0.044704931,-0.028701318,-0.039495883,-0.030097092,-0.023301881,-0.021023644,-0.034054752,-0.040215742
03/1968,0.035371903,0.0088303075,0.0008634676,0.0229502752,0.0103049066,-0.000464427,0.0030689714,0.0102682051,0.0082844241,-0.002554119
04/1968,0.1231027465,0.1027702625,0.1208591143,0.1083711884,0.1171470655,0.0710599155,0.0507283757,0.1089108996,0.1087868722,0.1034858798
05/1968,0.0522693338,0.0286186499,-0.002010314,0.0118267846,0.0417015854,0.0282337603,-0.003676064,0.0190143797,0.0437540741,0.0626175754
06/1968,-0.005265045,-0.019548303,0.0008814756,-0.005197399,-0.001312434,0.0277502006,0.0164971721,0.0092612922,0.0017935679,0.0129964137
07/1968,-0.059536178,-0.043980844,-0.01948747,-0.050305139,-0.007257381,0.0100476215,-0.021269383,-0.038052726,-0.024565304,-0.024055402
08/1968,0.0206703363,0.0381419311,0.0042095308,0.0185772439,0.0231110074,0.0164167401,0.0139701396,0.0234966588,0.0270453332,0.0317056603
09/1968,0.0385943566,0.0533174384,0.027657783,0.0627398763,0.0442515688,0.0279878275,0.0597115983,0.0668504233,0.0631990704,0.0702920053
10/1968,-0.011680501,0.0119944481,-0.026802087,0.0062406551,0.0167900078,0.0358798022,0.0242965107,-0.002896783,0.0190839487,0.0054502757
11/1968,0.0677506501,0.0713688324,0.065542818,0.0512867433,0.0588528361,0.0520666043,0.0237047473,0.0582676756,0.0525369492,0.0622675612
12/1968,-0.048825539,-0.038636554,-0.041210998,-0.029053322,-0.027608091,-0.056645267,-0.026226502,-0.030726974,0.0028021661,0.0042300523
01/1969,-0.02333009,-0.007934459,-0.035962664,-0.003566506,-0.01709416,0.0061845917,-0.010805822,-0.009232619,-0.01172365,0.012276001
02/1969,-0.070974565,-0.052322131,-0.030205826,-0.07404495,-0.056659692,-0.034331507,-0.034921743,-0.051023209,-0.073344244,-0.089994364
03/1969,0.0119323306,0.0267361382,0.0550020577,0.0367925323,0.0500449126,0.0241766592,0.0623747541,0.0274225573,0.0183233613,0.0372341174
04/1969,0.0322690645,0.0216842389,0.0254626222,-0.009896931,0.0070643705,0.0398254662,0.0162173569,0.0161535502,0.0185545622,0.0339699933
05/1969,-0.023464144,-0.000403206,-0.007432408,0.003719187,0.0225877528,0.009923707,0.0161623435,-0.001185104,-0.007698684,0.0092405028
06/1969,-0.063946097,-0.06121873,-0.027430847,-0.060374751,-0.087518887,-0.057825123,-0.060937606,-0.066708588,-0.100969944,-0.121591636
07/1969,-0.098091454,-0.070713681,-0.078846938,-0.056048182,-0.075067385,-0.053535122,-0.061748353,-0.049831823,-0.066856649,-0.08573659
08/1969,0.0638148034,0.0898402378,0.06108031,0.0507104664,0.045770806,0.0303266253,0.0579093664,0.0773391951,0.0545982326,0.057738753
09/1969,-0.024838643,-0.022471666,-0.026537611,-0.027120891,-0.038814861,-0.035621999,-0.010355077,-0.036976058,-0.005425177,0.0026868073
10/1969,0.0830372034,0.0745949424,0.0362888975,0.0561078183,0.0482052891,0.0391515645,0.0397917838,0.0533693117,0.0442450128,0.0778953374
11/1969,-0.050218555,-0.029078852,-0.045620794,-0.029892811,-0.036021816,-0.01896173,-0.023143101,-0.037028284,-0.030364253,-0.027373382
12/1969,-0.023436514,-0.040208241,-0.033577173,-0.00377098,-0.000507083,-0.051453344,-0.000790741,-0.007657032,-0.021968954,-0.035993002
01/1970,-0.105874842,-0.101932757,-0.096313433,-0.09185204,-0.07686195,-0.063465703,-0.08203007,-0.069523213,-0.057501561,-0.067343147
02/1970,0.041573899,0.0833752263,0.0551358281,0.0784885818,0.0420025378,0.054533617,0.0528947537,0.0747414994,0.060600569,0.0410375555
03/1970,-0.015366552,-0.04173517,-0.003199123,-0.013832914,-0.009301507,0.0116756301,0.0037385329,-0.007065022,0.0162304976,-0.013990548
04/1970,-0.163560993,-0.129668561,-0.113733316,-0.115450168,-0.081416069,-0.079799099,-0.098029707,-0.090122548,-0.084223468,-0.125971581
05/1970,-0.125724195,-0.081256472,-0.084303482,-0.046927085,-0.046023912,-0.048970348,-0.05484625,-0.049607347,-0.085272666,-0.071334546
06/1970,-0.075277464,-0.094255759,-0.030408164,-0.052743979,-0.034612008,-0.060670285,-0.057078308,-0.024128054,-0.032909512,-0.049391022
07/1970,0.0746273133,0.047515292,0.036098184,0.068406737,0.0816697558,0.0851264217,0.0516353435,0.1133815817,0.0955972313,0.0642362457
08/1970,0.0684538117,0.0517520613,0.0679687462,0.0535706415,0.0382841307,0.0407132457,0.05726845,0.059303298,0.039200299,0.0390982974
09/1970,0.084268491,0.0886695037,0.0770288414,0.0487434226,0.0072900444,0.0426780126,0.0475268071,0.0335079891,0.0573885714,0.0683636436
10/1970,-0.036491568,-0.026254435,-0.009703225,-0.029910028,-0.015636666,-0.008875162,-0.020714302,0.0070569401,-0.010185142,-0.026585481
11/1970,0.0316253353,0.0449182523,0.0415381741,0.0730388313,0.0555110087,0.0413752347,0.0319340543,0.0517931787,0.0663339478,0.035091385
12/1970,0.0547085029,0.0673404165,0.0538928905,0.0633214462,0.0723542445,0.0503581012,0.0728750622,0.0496048682,0.0491849095,0.0607167239
01/1971,0.0763918846,0.0628149974,0.0382104661,0.0704139804,0.0398972852,0.0569373618,0.0680547008,0.013069306,0.0623360028,0.1009762279
02/1971,0.0088433727,0.0284318987,0.0340704461,0.0199094071,-0.006410966,0.0317418039,0.0325965984,0.0483043035,0.0081566793,0.0096856394
03/1971,0.0534633427,0.0567852125,0.0674699037,0.0458709809,0.021961995,0.0384723119,0.0297947837,0.0325371126,0.0535462264,0.0728233719
04/1971,0.0522826969,0.0573064921,0.0169877743,0.042280374,0.045342047,0.0569665761,0.0543325328,0.04120665,0.045870169,0.0297927897
05/1971,-0.04631504,-0.027290703,-0.049776235,-0.043097568,-0.031585596,-0.033730275,-0.042057003,-0.038955359,-0.03381681,-0.040091053
06/1971,-0.012615675,-0.001704776,-0.005069631,0.0040629783,-0.002476903,-0.000214121,0.0049254834,0.0003721816,-0.00524129,-0.010513422
07/1971,-0.062691976,-0.056295145,-0.032555637,-0.044306672,-0.022920887,-0.032575225,-0.03706065,-0.047380373,-0.070706814,-0.094536436
08/1971,0.0603941139,0.0439031666,0.0381932563,0.0504295904,0.0171627944,0.0396285592,0.0685875583,0.0583595866,0.074907658,0.1062634581
09/1971,-0.003663424,0.0003927831,0.0082278344,-0.012740528,-0.006001563,-0.009901109,0.0007084881,-0.012870426,-0.029694326,-0.002257524
10/1971,-0.048384419,-0.030898475,-0.033642053,-0.055844843,-0.039339001,-0.048437325,-0.0550659,-0.064534101,-0.058007179,-0.060259665
11/1971,0.0046574583,0.0130348292,0.0008172283,0.0044555334,-0.003158193,-0.010080302,-0.007159102,-0.016878917,-0.014348616,0.0127188858
12/1971,0.1212181113,0.1067497247,0.0846172705,0.0573082732,0.0941543545,0.1007347961,0.1080931877,0.0992588941,0.1235733675,0.0855014579
01/1972,0.0472102096,0.0607025414,0.0165819633,0.0149781911,0.012926853,0.0280344373,0.0088367093,0.0358238838,0.0728749552,0.0396957965
02/1972,0.0501376585,0.0291955906,0.034053444,0.0383020931,0.0374281276,0.0253780347,0.0656697553,0.0375292923,0.0369006871,0.018227108
03/1972,0.0094708821,0.0174048895,0.015180583,0.0105755543,-0.023321868,-0.006417971,0.0142411382,-0.013396825,0.0021708317,0.0194352302
04/1972,0.03619409,0.0097578366,0.0023679914,-0.001571219,0.0051058022,0.0117871808,-0.001272171,0.0035840787,0.0009473477,0.0334321599
05/1972,0.0386060178,0.0295873617,0.0238708086,-0.007470895,0.036029241,0.0105909935,0.0104773805,0.0065826105,-0.005293355,0.006880608
06/1972,-0.009502925,-0.015438103,-0.010756335,-0.015315334,-0.027568928,-0.029939119,-0.035283533,-0.036416777,-0.038571602,-0.02845583
07/1972,-0.01820881,-0.011875,0.0143790045,-0.008206777,0.0072774574,-0.002136059,-0.019621633,-0.02325347,-0.024987793,-0.014731085
08/1972,-0.007000057,0.0281262811,0.0381968486,0.0330709416,0.0430042029,0.0240635717,0.0661558134,0.0501615913,0.0272694202,0.0487904942
09/1972,-0.033779178,-0.011566172,0.0032681291,0.0084234675,-0.016534819,-0.008092002,-0.02656018,-0.017380949,-0.039582018,-0.022816524
10/1972,0.0229677497,0.0160082556,0.0036615935,0.0027200213,0.0123685667,0.0105287174,0.0086914608,-0.012964101,0.007271212,-0.018432279
11/1972,0.042375934,0.0572746521,0.0410567244,0.0433578038,0.0417062784,0.0520548249,0.0834916273,0.0875708338,0.059233474,0.0791660797
12/1972,0.0348812117,0.008330606,0.0234859692,0.0235744211,0.0072524129,0.0180949868,0.004451531,-0.002594658,-0.021796094,-0.032464034
01/1973,-0.057865977,-0.0406752,0.0124388735,-0.027033223,-0.002458331,-0.02319049,-0.047959656,-0.054124359,-0.052493939,-0.069646563
02/1973,-0.053717902,-0.041405371,-0.030562999,-0.04293877,-0.033939461,-0.040748345,-0.065632743,-0.050598161,-0.068259135,-0.046860637
03/1973,-0.006448017,0.0127310427,-0.000115009,0.0004822731,0.0174470541,-0.029042632,0.0019423297,-0.013053088,-0.029544893,-0.024574596
04/1973,-0.086433856,-0.069358086,-0.033963717,-0.048951737,-0.029798002,-0.042569173,-0.050031454,-0.048657487,-0.031421403,-0.074015579
05/1973,-0.039246288,-0.017019094,-0.012646024,-0.015562813,-0.018292185,-0.010582437,-0.034565578,-0.041568264,-0.05869938,-0.048649707
06/1973,-0.038658263,-0.010363178,-0.003489093,-0.002357196,-0.00125091,-0.024106701,-0.014249556,-0.008306778,-0.039505824,-0.044500555
07/1973,0.1450229994,0.0919838399,0.0413165039,0.0335956201,0.0252144169,0.0722329962,0.0466656141,0.1066552695,0.0761917548,0.0835968539
08/1973,-0.035940001,-0.047022139,-0.05052751,-0.016207208,-0.039644551,-0.036749341,-0.033595014,-0.044242639,-0.017568899,-0.012785739
09/1973,0.0954152719,0.0662473977,0.0811067707,0.0295969654,-0.002614995,0.0673969679,0.0551215164,0.0906339663,0.1049704263,0.1028023993
10/1973,-0.019575995,0.0093886799,-0.012775318,-0.008995744,0.0220440159,-0.001961193,-0.001835094,0.0081793086,0.0151662036,0.0470992956
