date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.002382692,-0.0195177,0.0065665995,0.01110225,0.000165111,-0.010119519,0.0102335862,-0.006727403,-0.006758666,0.0024607084
08/1963,0.0697003463,0.0656812482,0.0740193171,0.0580887523,0.0465104419,0.0472441828,0.0679841823,0.0537482729,0.0800799609,0.0837914573
09/1963,-0.032688402,-0.039733625,-0.015356661,-0.013399901,-0.000330219,0.0023554444,-0.01830228,0.0039012637,-0.010352482,-0.03527954
10/1963,0.0755940209,0.030688434,0.0088898963,0.0782576998,0.0218400568,0.0473163664,0.0431989077,0.0187024757,0.0125181747,0.0232993316
11/1963,-0.006076371,-0.00113149,-0.01684348,-0.035687237,0.0301834374,-0.007532221,-0.011162208,-0.020529077,-0.010158988,0.0102719124
12/1963,0.0081343877,0.0195233096,0.0125058967,0.0330213396,0.0166041022,0.0300853697,0.0213332431,0.0222397036,0.0084657664,0.023468009
01/1964,0.0283277579,0.0045387114,0.0199664428,0.0342393202,0.0353836411,0.0409092588,0.0173531792,0.0384515223,0.0051862413,0.0384197091
02/1964,0.0438617546,0.0186914834,0.042513255,0.015143218,0.0062874772,0.0384167765,0.0098623803,-0.003416219,0.0299917037,0.0373972444
03/1964,0.0613238373,0.0347433129,0.0115450904,0.0208439608,0.0035482977,0.0309129065,0.0300202001,0.0062231479,0.0417740694,0.0687748483
04/1964,0.0050286177,0.0101896008,0.0079083164,0.028998612,0.0141345573,-0.014778379,-0.015500686,0.007384817,-0.002440239,-0.029247681
05/1964,-0.000461273,0.0105669237,0.0283410965,0.0285850815,-0.004138329,0.0262958039,-0.003738574,0.014223166,0.0318947389,0.0257088666
06/1964,0.0070817674,0.0153660217,-0.002123404,0.0053592116,0.047227922,0.011075452,0.0173066424,0.0233187756,0.0083528246,0.012182386
07/1964,0.0270077382,0.0278886718,0.0184571366,0.0217931546,0.0179157793,0.0114308968,0.0252192791,0.0162629232,0.0083315866,0.0252347441
08/1964,0.0252481152,-0.010745615,-0.016833748,-0.00980594,-0.020405419,-0.009454862,-0.014433938,-0.02314597,-0.007953691,-0.012358807
09/1964,0.0435647954,0.0362203374,0.0333404808,0.0517805244,0.0469832641,0.0057245071,0.0407692511,0.02448379,0.0423260207,0.0273891086
10/1964,0.004975404,0.0020431173,0.0095449016,0.0209860707,0.0083477,-0.002461538,0.0137352378,0.0281634583,-0.005988952,0.014924711
11/1964,-0.000013173,-0.00427461,0.0223603821,-0.004765924,0.0261685956,-0.017150943,0.0314415967,0.0064201421,0.010641535,0.0092158465
12/1964,-0.003154152,0.0098827647,0.0105754019,-0.0100395,-0.01317528,0.0203157427,0.0076361733,0.0023654276,-0.005874417,-0.005210395
01/1965,0.0404268029,0.0643737613,0.0500577292,0.0148943557,0.056350617,0.0306237687,0.0394247654,0.0045535519,0.0472356989,0.0476304387
02/1965,0.0154921741,0.0240999437,0.0112924165,-0.00024996,-0.000271845,0.0021062999,0.0122686823,-0.018931874,0.0219703279,0.0271968751
03/1965,-0.009438891,-0.011536106,-0.027110112,-0.013556884,-0.021089012,-0.000885721,-0.01931776,-0.022111855,0.007711767,-0.017449088
04/1965,0.0510906842,0.046572098,0.0515844975,0.0257985379,0.0467728751,0.0467799277,0.021722642,0.0207913155,0.0360906961,0.0399579342
05/1965,-0.009983698,0.0043293234,0.0059032062,-0.013554697,0.007964255,-0.001140298,0.0081435924,-0.009282321,-0.015199266,0.0026814002
06/1965,-0.07877528,-0.063983462,-0.052900911,-0.041114419,-0.047932694,-0.044938891,-0.054513348,-0.028031825,-0.05885876,-0.065954763
07/1965,0.0009111534,-0.00021091,0.0215283375,0.0194280689,0.0222655929,0.0070932224,0.0202515581,0.0167123234,0.0139148603,0.0458297087
08/1965,0.0555718769,0.0291326417,0.0345700234,0.0246820737,0.0227377779,0.0266391653,0.0384137262,0.0415634056,0.021271678,0.0633685276
09/1965,0.043249852,0.0050837642,0.0356104516,0.0525319663,0.0436249778,0.0221525296,0.0389104162,0.044064298,0.0340898838,0.0445035724
10/1965,0.0363254422,0.0127104287,0.0442919734,0.0557484017,0.0313016016,0.0078766686,0.0215596113,0.039966995,0.0174134635,0.0487577765
11/1965,0.0034187717,0.0183974277,0.0004434402,-0.029892155,0.0033621382,-0.023584859,0.0217363542,0.0392733226,0.0047722798,0.0357164551
12/1965,0.0425692965,0.0348066883,0.0179683124,0.011497605,-0.001723278,0.0117051082,0.0116400257,0.013875202,0.0107778255,0.0062381401
01/1966,0.0352402413,-0.018648491,0.0149205248,0.0092874978,0.0057684613,0.0002572762,0.013849173,0.0295651186,0.0159011646,0.0445527998
02/1966,0.0068463381,-0.004808808,-0.006698088,-0.009415532,-0.016097714,0.0023140818,-0.017879152,-0.01272359,-0.016307762,-0.001272178
03/1966,-0.02579664,-0.016722073,-0.017207031,-0.036990148,-0.014682255,-0.028935499,-0.029501419,-0.020504084,-0.030916313,-0.005231003
04/1966,0.0211380808,0.01557768,0.0266732877,-0.000493548,0.0326108637,0.0305187374,0.0355639509,0.0451905659,0.0040273137,0.0509570713
05/1966,-0.073978782,-0.048009049,-0.05622735,-0.063108581,-0.047123966,-0.039169218,-0.067922507,-0.045925687,-0.043695573,-0.07842936
06/1966,0.0014568541,-0.014235464,-0.010081739,-0.013328635,-0.022712833,0.0004424347,-0.009526788,0.0002683678,-0.008058136,-0.017836962
07/1966,-0.058338309,-0.025143794,-0.012991093,0.0110644649,-0.030012904,-0.002237045,-0.0140337,-0.002836865,-0.016424168,-0.019176035
08/1966,-0.090784813,-0.066693468,-0.067570451,-0.08062277,-0.053690386,-0.075062656,-0.061026478,-0.056263576,-0.070328631,-0.081551606
09/1966,-0.029430122,-0.015903958,-0.013681379,-0.013141086,-0.029898585,0.0114738025,-0.021853228,0.015478543,-0.011593669,-0.026152952
10/1966,0.0622880221,0.0045033679,0.0429628578,0.0217346633,0.0045278192,0.0620349823,0.0594369404,0.0646701259,0.0177932039,0.0261840162
11/1966,0.0356076554,0.0610099393,0.0940721509,-0.023047891,0.0301294587,0.0121116713,-0.004559883,-0.025166444,0.0507127991,0.0554772624
12/1966,-0.039866834,-0.006074499,-0.004542204,0.0120321498,-0.008167917,0.0018665331,0.0070035484,-0.002586965,0.0082458618,0.0082078003
01/1967,0.0685564511,0.1228206896,0.0775349799,0.1008995466,0.1039337869,0.0746539619,0.0812787122,0.06520958,0.069824466,0.1085398502
02/1967,-0.005889366,0.0047292289,0.0461797073,0.0029625997,0.0244617617,0.0085506625,0.0093957345,-0.005850383,0.016993798,0.0245355848
03/1967,0.0413033273,0.06049312,0.0527097691,0.0504026869,0.0478761292,0.0339092715,0.0391844346,0.0471548113,0.0481463355,0.0529838648
04/1967,0.0634436603,0.053729073,0.0840418696,0.0599205833,0.0909134072,0.0147219474,0.0213965591,0.0278836234,0.0400369429,0.0584628658
05/1967,-0.058361782,-0.026300275,-0.04385629,-0.052164559,-0.048381325,-0.041991441,-0.053452259,-0.026505849,-0.04200864,-0.040389175
06/1967,0.0296849997,0.0505786607,0.0524728979,0.0080675601,0.0315492378,-0.004436123,0.0332233168,0.0156238105,0.021382537,0.0682523896
07/1967,0.0541781634,0.0587928074,0.0488762759,0.0680645233,0.0374417028,0.0745852823,0.007034273,0.0911998196,0.0500645888,0.067354426
08/1967,-0.01225548,-0.00698195,0.0009149348,0.0000807804,-0.005153287,-0.019072718,-0.008257383,-0.004425042,0.0006147323,0.0016282423
09/1967,0.0273142126,0.0019066334,0.0573453777,0.0316799525,0.0613220831,0.0189051853,0.0306994258,0.0438596259,0.03609414,0.0547817385
10/1967,0.0013645073,-0.038422928,-0.043249923,-0.021746102,0.018542165,-0.033385357,-0.021798526,-0.047423477,-0.065171579,-0.029235507
11/1967,0.0256344951,-0.000362785,-0.01958502,0.014485982,0.0132325528,0.0020309222,0.0133452309,-0.008027449,-0.011014087,-0.008253488
12/1967,0.0318973134,0.032211878,0.0275941362,0.0160176027,0.0263755455,0.0389413173,0.0170607356,0.0266070915,0.028952128,0.0941443225
01/1968,-0.073349113,-0.065069986,-0.041319532,-0.073232372,-0.053854277,-0.022635925,-0.019439857,-0.048719998,-0.011712716,-0.065524786
02/1968,-0.065033821,-0.052548747,-0.026789872,-0.020159464,-0.032897249,-0.030140021,-0.023132455,-0.036090082,-0.029721242,-0.058590038
03/1968,0.009313327,0.0242796678,-0.009753976,0.0252774965,0.0336127596,0.0114617628,0.0035982701,0.0095117199,-0.023833594,0.0154088123
04/1968,0.1268185302,0.1215531785,0.0991902759,0.1028020565,0.1077895495,0.0638908039,0.0757017994,0.098202487,0.0871265881,0.1351117432
05/1968,0.0379553796,0.0165825079,0.012687725,0.0161918142,0.0320738007,0.0107629827,0.0144285404,0.0111395328,0.0327986411,0.035928675
06/1968,0.0018795142,-0.011024782,0.0008349009,0.0020194555,0.0022657022,0.0151569054,0.0057011243,0.0047557178,0.0115332582,-0.026674304
07/1968,-0.0598623,-0.045942185,-0.029390274,-0.003919709,-0.016523176,-0.009914419,-0.0237576,-0.037331287,-0.024332925,-0.010577826
08/1968,0.021400893,0.0198512401,0.0221190329,0.0204371018,0.0159096476,0.0128480029,0.0124341644,0.0173791677,0.0355579149,0.0335074422
09/1968,0.0761446012,0.0486493679,0.0400529126,0.0304380317,0.0414553191,0.0415804474,0.0309315157,0.0714225868,0.0542805952,0.0654039332
10/1968,-0.011544799,0.0231235417,0.0062995077,0.0097951023,0.0277587734,0.0196473408,-0.034179855,0.0330827398,0.0172388608,0.005270779
11/1968,0.0725418898,0.062712046,0.0606824686,0.0587511818,0.0453043387,0.0508394981,0.0737668982,0.0162083192,0.0411215664,0.0855279022
12/1968,-0.031293429,-0.01168605,-0.038402576,-0.05294197,-0.033117225,-0.035446665,-0.042541095,-0.040657142,-0.032721268,-0.007060599
01/1969,-0.022832962,-0.029403938,-0.011970322,0.0017520695,-0.01350255,-0.001153492,-0.025714217,-0.008935314,-0.023763252,-0.004959241
02/1969,-0.071819737,-0.064992539,-0.055234457,-0.039593229,-0.038701628,-0.051763431,-0.036687096,-0.037027727,-0.065145638,-0.084578985
03/1969,0.0161219679,-0.008151036,0.0392715614,0.0322294773,0.0649239877,0.0242966203,0.0497423036,0.029514353,0.0281879425,0.0375041854
04/1969,0.0134593312,0.0189248364,0.0145302631,0.0220952404,0.0224176109,0.044942268,0.0199968178,0.0074648599,0.0117647487,0.0116867922
05/1969,-0.023870149,-0.026429416,0.0056548197,0.0173216571,0.0002231243,0.0121417324,-0.008653594,0.0091214501,0.0097288608,0.0156940024
06/1969,-0.085976367,-0.083789009,-0.066900704,-0.051620626,-0.070218871,-0.060023455,-0.022077837,-0.064732917,-0.088807864,-0.130175874
07/1969,-0.101680714,-0.067308888,-0.079941996,-0.066553363,-0.055317967,-0.064504245,-0.06934938,-0.045174011,-0.07228375,-0.09892691
08/1969,0.0789106746,0.0589708222,0.0712012636,0.0429392576,0.0404743854,0.0714722808,0.035160041,0.0565918266,0.0733058281,0.058900867
09/1969,-0.002389009,-0.026822658,-0.040695996,-0.022787408,-0.029689307,-0.054925357,-0.007068831,-0.012673479,-0.0132862,-0.001273554
10/1969,0.1001490506,0.0369347043,0.0711623461,0.0552393821,0.0429853613,0.0363726828,0.032873702,0.0521102346,0.0683325333,0.0848786054
11/1969,-0.039397963,-0.033006645,-0.041800942,-0.030682799,-0.027618076,-0.02880315,-0.032915545,-0.017792997,-0.037812642,-0.033517768
12/1969,-0.03758732,-0.029495321,-0.028365326,-0.022210116,-0.012074549,-0.038129818,-0.008380858,0.0006687373,-0.018659073,-0.033690927
01/1970,-0.081215133,-0.093438346,-0.0923957,-0.084209714,-0.057730078,-0.109047733,-0.080842064,-0.078488257,-0.065746213,-0.062057351
02/1970,0.0393687659,0.0645129244,0.0791771808,0.0433978118,0.0585983884,0.0736857459,0.0655435283,0.0312844221,0.0598302428,0.0558872007
03/1970,-0.038933633,-0.012551234,-0.001072186,-0.005027324,0.0021000835,-0.019337503,0.0197804004,-0.009341164,-0.010672897,-0.003906873
04/1970,-0.182693068,-0.117128346,-0.106477754,-0.123959136,-0.086380714,-0.085498789,-0.08040493,-0.098746368,-0.093238739,-0.146614558
05/1970,-0.113159383,-0.071675912,-0.063304861,-0.050487812,-0.051629012,-0.035544674,-0.068551196,-0.059017796,-0.068478623,-0.094493576
06/1970,-0.065623637,-0.092154692,-0.025693835,-0.034944051,-0.065662937,-0.04565584,-0.018472891,-0.071414683,-0.048889217,-0.068762293
07/1970,0.0768277526,0.0728070336,0.0762795976,0.0320129506,0.0921937001,0.080531523,0.0577741835,0.092426033,0.1095024558,0.0520109424
08/1970,0.0819889041,0.0695295326,0.0522257858,0.0567042599,0.0338574335,0.0560993394,0.0215631427,0.0538230482,0.0440735507,0.0564032983
09/1970,0.0342932076,0.0676958354,0.0491033071,0.0783979344,0.0189009592,0.0380024361,0.0488661693,0.0213430828,0.0518032159,0.0814300303
10/1970,-0.033592023,-0.041237825,-0.020628856,-0.006743313,-0.022562359,-0.009658364,-0.011056058,0.0091429996,-0.008075805,-0.041993951
11/1970,0.0704688476,0.039295408,0.0348848545,0.0399201946,0.0527399458,0.0540034686,0.0511309267,0.0397733752,0.0554360886,0.0598928575
12/1970,0.0656744549,0.0681582293,0.0614253303,0.0477756568,0.0754148913,0.0620504705,0.0666482428,0.0571094923,0.0377742778,0.0818633406
01/1971,0.0481984868,0.070812414,0.0611244424,0.043986216,0.0701103465,0.0329094314,0.0531331583,0.011970504,0.0536225616,0.1154629709
02/1971,0.0116328714,0.0341452854,0.0164688069,0.032882238,-0.016197633,0.0257860252,0.0172142107,0.0477002453,0.0180688076,0.0076238043
03/1971,0.0438164562,0.0275198262,0.0357094891,0.0614298308,0.0297300227,0.0348181942,0.04955858,0.0361376155,0.0477413273,0.0355500134
04/1971,0.0635184369,0.0675943186,0.0522386927,0.0269707584,0.027103881,0.0395780193,0.0515509608,0.038559256,0.056010347,0.0523685403
05/1971,-0.050501813,-0.024873257,-0.025687066,-0.052929945,-0.047027861,-0.036280527,-0.022010568,-0.033876079,-0.033919935,-0.030474096
06/1971,-0.023519669,-0.006444423,0.0022043864,-0.014430926,0.0132974684,0.0165510229,-0.003774794,0.003557027,-0.00932877,-0.020567727
07/1971,-0.060432348,-0.032554368,-0.059984656,-0.032347637,-0.043424984,-0.034132161,-0.030133816,-0.032964071,-0.067869378,-0.08593623
08/1971,0.0533332458,0.0590855812,0.0449732162,0.0396334335,0.0357559457,0.0564334673,0.0581674483,0.0522068113,0.050321825,0.0434895326
09/1971,-0.010551086,-0.001734495,0.0026651766,-0.006279567,0.0037255248,-0.023001156,-0.005481077,-0.00413913,-0.009226962,-0.00025444
10/1971,-0.05655195,-0.043539506,-0.031780793,-0.044872315,-0.042860701,-0.054222702,-0.049635167,-0.059472752,-0.037959575,-0.068054854
11/1971,-0.019369981,0.0082405304,0.0087525327,0.0012304101,0.0084689664,-0.006930166,-0.005557108,-0.011652994,-0.013215852,-0.014379759
12/1971,0.1427629533,0.0918244079,0.1002378069,0.0676190935,0.0922770489,0.1066617152,0.0942836207,0.0833028212,0.0842073929,0.1367837765
01/1972,0.0718714578,0.0246391865,0.043242258,0.0144060893,0.0122767065,0.0166993233,0.0391632748,0.0268022873,0.0508325318,0.0855950687
02/1972,0.0515237791,0.0700060863,0.0308976801,0.0138973236,0.0310989746,0.0396067503,0.0508625188,0.0505484571,0.0352970784,0.0417146475
03/1972,-0.01117203,0.0081949059,0.0313740296,0.0057407828,-0.002052174,-0.002353072,-0.006824087,-0.01029193,0.0070890315,-0.005933165
04/1972,0.0191629465,0.0223401607,0.0047056112,-0.005115,0.0123363936,0.0114425072,0.012608132,0.008696538,0.0058149017,0.0093110079
05/1972,0.0225704115,0.0219456087,0.0322143435,-0.001697847,0.0352625638,0.0132334499,0.0346660354,-0.006861982,-0.017949559,0.0065190822
06/1972,-0.026211672,-0.02538518,-0.007669144,-0.028054448,-0.010906378,-0.025438846,-0.028051534,-0.03460583,-0.029070917,-0.019624842
07/1972,-0.055951132,0.0077222997,-0.013667603,0.0075942335,0.0059334653,0.0001395886,-0.013371027,-0.012737784,-0.008704671,-0.004477702
08/1972,0.0157385924,0.0063309741,0.0454721737,0.0377966656,0.0363071692,0.0327344125,0.0447077552,0.0625212084,0.0133484466,0.0170510201
09/1972,-0.030266304,0.0000702265,0.0085318139,-0.022869289,0.0090171001,-0.020269699,-0.016457363,-0.011762633,-0.025154006,-0.037719919
10/1972,0.007437984,0.0171934176,0.0069134723,0.030766777,0.0164607194,-0.017259411,0.0073103342,-0.019569236,0.0048405353,0.0107560071
11/1972,0.061185201,0.041259701,0.0394968171,0.0574343987,0.0523834842,0.042450684,0.0547286439,0.079058348,0.0637939821,0.0268744529
12/1972,0.0183077971,0.0229814675,0.0167546094,0.0059550117,0.0292906322,0.0091061082,0.0036560194,0.0038239883,0.0012006278,-0.007174876
01/1973,-0.060116213,-0.029744035,-0.018699409,-0.033170611,-0.010349147,0.0117449836,-0.039801584,-0.042356887,-0.047014398,-0.051010271
02/1973,-0.076684441,-0.024969424,-0.067517131,-0.055903026,-0.035907363,-0.017991986,-0.054154312,-0.046031994,-0.052318382,-0.020724112
03/1973,-0.02195665,-0.0074015,-0.009902532,-0.001284432,0.0102670476,-0.006681268,-0.012784765,-0.011219542,-0.004287307,0.0070530369
04/1973,-0.070151667,-0.055546849,-0.036572615,-0.064323865,-0.027967945,-0.051891942,-0.046993416,-0.030769989,-0.068175376,-0.09126579
05/1973,-0.087177372,-0.019434813,-0.022710997,-0.018023546,-0.005176742,-0.026273554,-0.02590196,-0.016210375,-0.040946244,-0.039017667
06/1973,-0.044799143,-0.001188903,-0.022690764,-0.026750216,0.0073615386,0.0002143289,-0.037841295,-0.011321546,-0.043698271,-0.02965369
