date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
01/1973,-0.10964815,-0.09595745,-0.035619186,-0.059019252,-0.002555097,-0.019174215,0.0018231159,-0.040504241,0.071011854,0.0136227161
02/1973,-0.056115195,-0.019532577,-0.11316629,-0.082033678,-0.038472571,-0.010101136,-0.031770221,-0.047425455,-0.035159242,-0.051070314
03/1973,-0.038622799,-0.00849969,-0.035725129,0.0056025605,-0.012177934,-0.016491612,-0.026968919,-0.01317023,0.0172275708,0.0051949824
04/1973,-0.125506633,-0.057506977,-0.107605236,-0.045835477,-0.049647053,-0.079873945,-0.061564497,-0.041615703,-0.032154312,-0.022486671
05/1973,-0.149380422,0.0072246871,-0.038618146,-0.060572741,0.0024743253,0.000440617,-0.011885514,-0.000854951,-0.000580453,-0.023290368
06/1973,-0.034769611,-0.030319905,-0.019719007,-0.010579814,-0.027753255,-0.004130893,-0.026503421,-0.005367854,0.0039251126,0.0105340524
07/1973,0.2112390053,0.078659885,0.1046598631,0.1134840254,0.0575390276,0.0530964216,0.0507914332,0.0578954085,0.025541482,0.0241169812
08/1973,-0.015353662,-0.028231042,-0.02408216,-0.041950015,-0.029260132,-0.022454358,-0.010310314,-0.047697506,-0.044185838,-0.029030904
09/1973,0.1276431959,0.0167076832,0.0911546986,0.1215031943,0.1127313534,0.0152095474,0.0429458213,0.0675864786,-0.045309204,0.0450443224
10/1973,-0.009499446,-0.073284222,0.010181003,-0.017425858,0.0015581256,-0.01194257,0.0151838185,0.0166270818,0.0284503964,-0.02392984
11/1973,-0.231440829,-0.233658399,-0.169577097,-0.137745286,-0.122356833,-0.132559048,-0.067983592,-0.12821555,-0.082345806,-0.082102508
12/1973,0.0118958355,0.0140354367,0.0560333816,-0.032578078,-0.004038272,-0.012227182,0.0277559389,0.0045462363,-0.008202557,0.0239845344
01/1974,-0.030488891,0.0484431436,-0.011444507,0.0130192472,-0.028523162,-0.023102587,-0.022559334,-0.032679846,-0.006202488,-0.012978329
02/1974,-0.014834454,0.0006749624,-0.012301073,0.0038631198,-0.007775768,0.0122274145,0.015546951,-0.003700523,-0.005748685,-0.025427911
03/1974,-0.034423706,-0.0479706,0.0038590592,-0.010611837,-0.028151876,-0.017004886,-0.009796659,-0.027786809,-0.026034959,-0.027164201
04/1974,-0.042691848,-0.051711893,-0.018587653,-0.020241924,-0.027957649,-0.049332363,-0.013106683,-0.05271081,-0.047592523,-0.048135699
05/1974,-0.014470067,0.0012195283,0.0034672835,0.0012826837,-0.060311995,0.0070567826,-0.048007661,-0.045945308,-0.038098979,-0.019278213
06/1974,-0.051943158,-0.022415452,-0.008113251,-0.012415867,-0.006354918,-0.002610038,-0.018190198,-0.031486132,-0.021707447,-0.011346139
07/1974,-0.129337268,-0.1405503,-0.09753214,-0.122633862,-0.100300258,-0.111620775,-0.097437106,-0.055355144,-0.100191875,0.0085385966
08/1974,-0.059292409,-0.0757897,-0.133805655,-0.114378301,-0.096283079,-0.054033698,-0.089195352,-0.03981462,-0.079439502,-0.098469194
09/1974,-0.16001588,-0.142266319,-0.165995545,-0.140666706,-0.137150663,-0.116189489,-0.104034565,-0.142943179,-0.077014363,-0.041347777
10/1974,0.2011270605,0.1712599199,0.2327868252,0.1600330865,0.1504881088,0.2064069575,0.175988365,0.2341255404,0.1265287509,0.1526285634
11/1974,-0.031236305,-0.065883213,-0.021852589,-0.053739885,-0.05241349,-0.02569387,-0.020649586,-0.035771419,-0.050703464,-0.060608837
12/1974,-0.093461702,-0.0355098,-0.039282394,-0.034991714,-0.021548034,-0.031916123,-0.038955539,-0.023308935,0.0154421187,0.0034080998
01/1975,0.162675226,0.0365705528,0.1887989878,0.1491861816,0.0458985571,0.1379084874,0.0868768642,0.1219309786,0.1265948074,0.1724296422
02/1975,0.1042299654,0.0619043191,0.1127498088,0.101894805,0.0975389625,0.064906563,0.0759707727,0.0633478849,0.0311929637,0.0371379406
03/1975,0.0904523593,0.0151423952,0.059695771,0.0102849246,0.0255964245,-0.002057577,0.0523296327,0.0628253331,-0.013838289,0.0066387882
04/1975,0.1313165239,0.1115789279,0.0485404492,0.0815911913,0.0690329231,0.0373627927,0.050972801,0.0080986504,0.0161244633,0.0249328087
05/1975,0.0305683947,0.0379537072,0.055203036,0.0389128661,0.0587542917,0.063837432,0.0345047455,0.0730677059,0.0925822104,0.0702011462
06/1975,0.0603036558,0.038842404,0.0314782235,0.0251899522,0.0562243997,0.0139434873,0.0898505315,0.0625157595,0.0857586091,0.0579281429
07/1975,-0.088194866,-0.043064581,-0.083467707,-0.091715296,-0.096309196,-0.043749574,-0.084136019,-0.051894328,-0.056757447,-0.048820209
08/1975,-0.032505949,0.0010554825,-0.034603812,-0.009851604,-0.006876431,-0.019361061,-0.00991735,-0.0133138,-0.035017861,-0.028509147
09/1975,-0.043889448,-0.063040452,-0.072453997,-0.066365805,-0.064478919,-0.04713314,-0.058648885,-0.013925885,-0.010494368,-0.002873039
10/1975,0.0248222137,0.0173860741,0.0510072896,0.0948913542,0.0781485833,0.0958727038,0.0885296177,0.0522778273,0.0750521048,0.0465934101
11/1975,0.0294081041,0.0044673542,0.0263682319,0.0496760236,0.050424485,0.0006039968,0.0160644556,0.0369804875,0.0416417043,0.0173783428
12/1975,-0.017606743,-0.023132694,-0.029911326,-0.016487149,-0.017812641,-0.023749432,0.0013810851,0.0107620892,-0.010546778,-0.005927265
01/1976,0.1766993659,0.1444180019,0.1471516559,0.1011845072,0.1384093562,0.1272866175,0.1392891227,0.0833763114,0.1162366171,0.1042603741
02/1976,0.017740891,0.0086932247,0.0257018898,0.0203636179,-0.015492902,-0.02216548,0.0146556358,-0.020884967,-0.030917927,-0.029623592
03/1976,0.0359331603,-0.020473548,0.0074926023,0.0385371293,0.0324770534,0.0255368718,0.0255541162,0.0428630249,0.0640637368,0.0645152061
04/1976,-0.053627758,0.0065485972,-0.031406261,-0.013324838,-0.029933363,-0.038251618,-0.026706177,-0.01136058,0.0027653838,0.0166502491
05/1976,0.0148455074,0.0009289509,-0.010395621,0.0136370151,-0.032629228,-0.008197285,-0.018026737,-0.017143828,0.0237346106,0.0008050656
06/1976,0.0764522272,0.031645324,0.0328265719,0.0509774124,0.0184882056,0.0521306592,0.0420013822,0.0704521579,0.0346308186,0.0541803363
07/1976,-0.045740799,-0.025746794,-0.024295363,-0.01482926,-0.013697804,-0.031096454,-0.01113463,-0.002647865,0.0073246934,0.0178811994
08/1976,-0.05064079,-0.031100833,-0.007562497,-0.00955193,0.0282420134,-0.004251503,0.0157563009,0.0025533616,0.0063075996,0.004948519
09/1976,0.0391723228,0.0170708637,0.0370939804,0.0251177601,0.0094060293,0.0001960128,0.044656285,0.033549253,0.0266692559,0.0342495068
10/1976,-0.046390505,-0.023084832,-0.029066997,-0.04086119,-0.008212164,-0.027464131,-0.021817352,-0.027757596,-0.016553001,0.0043143073
11/1976,-0.003662499,0.0164310736,0.0030020432,-0.000386314,0.0011185225,0.0177790877,-0.017514187,0.0038220789,-0.002018082,0.0051308248
12/1976,0.0503652566,0.0626905577,0.0558929223,0.0376838819,0.0470912883,0.0515148158,0.0647268769,0.0464229906,0.0741811031,0.0618958047
01/1977,-0.039244893,-0.061407944,-0.063145511,-0.03712846,-0.06839385,-0.069794465,-0.064228577,-0.035119719,-0.026009121,-0.011379221
02/1977,-0.037294821,-0.017504287,-0.021256462,-0.028570117,-0.031642129,-0.006772995,-0.026069259,-0.006387299,-0.001733727,-0.012608251
03/1977,0.0121633969,-0.015256152,0.0005914559,-0.009780987,-0.000853956,-0.025053055,-0.013929829,-0.013219129,-0.012539909,-0.019244739
04/1977,-0.004832123,-0.015879177,0.0024007727,0.0139868698,-0.001381156,-0.025513017,0.025261266,0.0063467307,0.0103272404,0.0063226635
05/1977,-0.001414055,-0.017718665,-0.006241129,-0.016077912,-0.027088489,-0.023623484,-0.026770789,-0.017232939,0.0086173703,-0.007573516
06/1977,0.0870467681,0.0447836331,0.0599511409,0.0630836341,0.0460082275,0.063075958,0.0629990981,0.0511175974,0.0456574182,0.0338678358
07/1977,-0.018328648,-0.020413989,-0.016853434,-0.011610877,-0.019184937,-0.019983289,-0.021331195,-0.019557398,-0.002930343,-0.003263312
08/1977,-0.010744924,-0.019971739,-0.002866033,-0.007342039,0.0021032405,0.013463875,-0.00932076,-0.029554379,-0.035994318,-0.031405414
09/1977,-0.014789871,-0.002340078,-0.002876549,-0.010437865,-0.002103432,-0.007255236,-0.012401101,-0.000059107,0.0032165101,0.0278995783
10/1977,-0.067761574,-0.03481519,-0.046271939,-0.046485845,-0.03020219,-0.058413585,-0.039912561,-0.038030701,-0.04860119,-0.033153376
11/1977,0.0623268259,0.0595411136,0.0616398958,0.0362647844,0.038589166,0.0407787737,0.0303732842,0.0413011639,0.0454308075,0.0230770315
12/1977,-0.000161061,-0.006899916,0.0206754896,-0.005177628,0.0201417405,-0.003222837,-0.008066052,0.0057775238,-0.010458306,0.0216329208
01/1978,-0.063323654,-0.059621801,-0.046070983,-0.077273757,-0.060589966,-0.062735774,-0.062761067,-0.056078135,-0.050258484,-0.053534776
02/1978,-0.005884746,-0.030419677,-0.010098029,-0.018430502,-0.010699852,-0.032456674,-0.027641805,-0.005865647,0.0015039132,-0.013766148
03/1978,0.0325850384,0.0585814734,0.0489333534,-0.002240321,0.0345001448,0.0293037822,0.0180822451,0.0484055888,0.0280636811,0.0382665149
04/1978,0.134302843,0.1045490799,0.1050720816,0.1250778229,0.1221330241,0.0924091621,0.1104596892,0.0575330939,0.0765099535,0.0369069681
05/1978,0.0541531573,0.0369000573,0.0105012444,0.0483788596,-0.001193147,0.0237288742,0.0302467188,-0.002024038,0.017127479,0.0132620654
06/1978,-0.000973137,-0.010695869,0.0004669004,-0.003449137,-0.013715232,-0.004829335,-0.023322945,-0.025682006,-0.01978652,-0.022859993
07/1978,0.0957761195,0.0716757007,0.0797068912,0.0894046936,0.0683240327,0.0552228579,0.0632945317,0.0551474992,0.0597227456,0.0319683437
08/1978,0.0732308202,0.0509737492,0.0484224404,0.0344509417,0.0390636426,0.0202101721,0.0302419856,0.0293947832,0.0401050775,0.0394562152
09/1978,-0.053253233,-0.034423905,-0.035593439,-0.023839278,-0.028768535,-0.002989944,-0.00145298,0.0011010242,0.0072557306,0.0193006224
10/1978,-0.204705313,-0.153572599,-0.126034462,-0.087140104,-0.111436652,-0.096007116,-0.097539588,-0.106431844,-0.082953556,-0.085510828
11/1978,0.0953280824,0.0512998033,0.0182812402,0.0335443682,0.0482822933,0.0436658785,0.0335375416,0.0331532978,0.0234566197,0.0325814343
12/1978,0.0344617511,0.0283529494,0.0222680525,0.0701944616,0.0356463705,0.0046304916,0.0070987556,0.0126222133,-0.00267152,0.0075012608
01/1979,0.0424098677,0.0313797479,0.0335500145,0.0361430126,0.0354450061,0.0552416659,0.059213762,0.0428768678,0.0577287965,0.0570308302
02/1979,-0.077673486,-0.064558652,-0.014908726,-0.018177799,-0.037129742,-0.020344422,-0.03570635,-0.025221026,-0.026401761,-0.017318271
03/1979,0.1192086109,0.0731686318,0.0655893652,0.0717680571,0.0711525403,0.0684127636,0.0518499322,0.0728671489,0.060569088,0.0235440991
04/1979,0.021595357,0.0058847605,0.0003643946,0.0069907581,0.026626981,0.0055697499,0.0101062478,0.0020465434,0.0095919218,-0.018772685
05/1979,-0.008429855,-0.022680313,-0.045419575,-0.012803363,-0.024979799,-0.021335545,-0.008739548,-0.026700607,-0.000241195,0.001090682
06/1979,0.0502160419,0.0541229038,0.0122928367,0.0481983552,0.051757839,0.0479051237,0.0367535128,0.0467971843,0.0575708353,0.0331308519
07/1979,0.0166312423,0.028004584,0.0235828526,0.0116196689,-0.016198606,0.0213560305,0.0130772574,0.0290700213,0.0283848496,0.002003777
08/1979,0.0899584206,0.0933736538,0.0648419411,0.0833485705,0.0529293454,0.0492431016,0.0504462848,0.0779199982,0.0639878935,0.0324993162
09/1979,-0.012673534,-0.005831066,0.0107255097,0.0009139233,-0.005786022,0.0063312422,-0.003619747,0.0270093786,0.0102858466,-0.025480951
10/1979,-0.079147289,-0.09748274,-0.094205615,-0.058244245,-0.034247603,-0.0762813,-0.049149484,-0.061717116,-0.073818197,-0.056139125
11/1979,0.1060571933,0.0799938509,0.040064558,0.0941963129,0.0739356861,0.0508084444,0.0620357362,0.0646715023,0.0296748652,0.0461217827
12/1979,0.0667449719,0.0607108053,0.0542924538,0.0217249014,0.0230756718,0.0024494027,0.0288139629,0.0506839975,-0.005564229,0.0177049821
01/1980,0.1277094808,0.1020235698,0.0813329863,0.0772523444,0.0529682627,0.0766825301,0.0706868683,0.0362446874,0.0399378734,0.0149599783
02/1980,-0.001852313,-0.01761999,-0.003098712,-0.020324281,-0.027616151,0.0584094119,0.014361145,0.0212931613,-0.036893475,-0.034946314
03/1980,-0.215262581,-0.141868323,-0.123888631,-0.110533691,-0.12868016,-0.119852274,-0.135872208,-0.085699297,-0.063749544,-0.038072719
04/1980,0.0341773686,0.0332560667,0.0465670396,0.0453330525,0.018024778,0.0496686752,0.0371645946,0.0530209274,0.0418602874,0.0857522741
05/1980,0.0970100601,0.0554018066,0.0366213408,0.0640516145,0.0387115186,0.0582872825,0.0560776516,0.0572183302,0.0599181492,0.0545551079
06/1980,0.0433376673,0.0479332497,0.0399348431,0.0194354178,0.0258271719,0.0423446508,0.0155531568,0.0191988752,0.0530117251,0.0471470466
07/1980,0.1530694382,0.0927097476,0.0841991845,0.0989267928,0.0458203345,0.0463599029,0.07490845,0.0564050123,0.0181965226,0.0400905715
08/1980,0.0416259582,0.0276618758,0.0190853983,0.0108146408,0.0051460582,0.0111014749,0.0168218702,0.0300468879,0.0139663612,0.0145528903
09/1980,0.0635192454,0.0370161611,0.0436469454,0.0291757176,0.0112713001,0.0280419392,0.0427369857,0.017573391,0.0375582666,0.0056839026
10/1980,0.0056355801,0.0140404028,0.0034838585,0.0400649449,0.0270390245,0.042943118,0.0353661729,-0.005544013,0.0093689838,-0.003067505
11/1980,0.1396549275,0.1764291728,0.1415552451,0.159181472,0.1065676391,0.078970172,0.1780837864,0.0443073839,0.0520344138,0.0521081543
12/1980,-0.043704481,-0.031574842,-0.035271449,-0.087820438,-0.039855481,-0.063188972,-0.042083327,-0.006538015,0.0237734555,0.0226209159
01/1981,-0.08939097,-0.0671353,-0.040308239,-0.062054301,-0.050970032,-0.043276508,-0.068779885,-0.028921361,0.0300238271,-0.008329595
02/1981,0.0219407687,0.0163806091,0.0362787376,0.0369219803,0.0533162577,0.0007132651,0.0284323157,-0.010507851,0.0172962435,0.0285879789
03/1981,0.1032549191,0.0344903004,0.0819173938,0.0459434671,0.0252232195,-0.000339821,0.041861442,0.0233473678,0.0252856236,0.0355530698
04/1981,0.018513572,-0.036970982,-0.020292359,-0.033456393,-0.015946215,-0.002671536,-0.026662523,0.0046901549,-0.062694971,-0.004274928
05/1981,0.0726873666,0.0370240044,0.0155710084,0.0106550547,-0.000481216,0.0135856264,0.0146253588,-0.02984852,-0.017000915,0.0058293905
06/1981,-0.095642701,-0.037885167,-0.013530796,-0.024426328,-0.035288648,0.0131695878,0.0298666613,-0.001932428,0.0230970728,-0.001220588
07/1981,-0.028401772,-0.052857061,-0.022067915,0.0019142974,0.0165862632,-0.017681178,0.0006480702,0.0109201441,0.0057935249,0.0183220028
08/1981,-0.082732233,-0.083429209,-0.075876678,-0.08054196,-0.061170896,-0.078899028,-0.053375573,-0.043014687,-0.038555236,-0.038435314
09/1981,-0.047541953,-0.054267308,-0.106234278,-0.052113146,-0.067568576,-0.059000642,-0.064629348,-0.019033656,-0.048242611,-0.058936651
10/1981,0.1161382831,0.065631662,0.076196097,0.0798997736,0.053843775,0.0146969345,0.0547496717,0.0448143798,0.0352891622,0.0637700804
11/1981,-0.003939791,0.0054164778,0.0296694748,0.0780307169,0.0268232522,0.0546422927,0.0391853685,0.0577027036,0.0753086093,0.0589406732
12/1981,-0.037644401,-0.02502976,-0.039093169,-0.058883724,-0.008394632,-0.016128239,-0.027113266,-0.011393984,-0.037195063,-0.030419489
01/1982,0.0110268586,0.0118220273,-0.020618944,0.0029740121,-0.045058368,-0.001933205,-0.071258079,-0.021630837,-0.045770208,-0.016147518
02/1982,-0.057098266,-0.068148352,-0.042362744,-0.027912784,-0.065153721,-0.047862947,-0.03841498,-0.07685165,-0.046382797,-0.00631086
03/1982,-0.016853102,-0.010297451,-0.019658122,-0.006201546,-0.001132526,-0.005425485,-0.011599339,0.0168227455,-0.001457023,-0.004562541
04/1982,0.0552398253,0.0534905606,0.0562459116,0.056665335,0.0372218642,0.0504244328,0.0124314456,0.0438407636,0.0417900096,0.032895054
05/1982,-0.057933392,-0.044732092,-0.043126622,-0.021030142,-0.036117003,-0.029224984,-0.001321627,-0.012742268,-0.019671601,-0.011638495
06/1982,-0.0011541,-0.016922252,-0.001275944,0.0059066853,-0.031720817,-0.04294272,-0.036493238,-0.025097575,-0.029905234,-0.016688103
07/1982,-0.025703757,-0.007118443,-0.019139091,0.0259856196,-0.052967979,-0.02778373,-0.039833878,-0.022089032,-0.041122275,-0.047329628
08/1982,0.132754935,0.1144970237,0.1417561881,0.1167083822,0.1435643956,0.1300027313,0.1165750868,0.1297330753,0.1135590828,0.1394216745
09/1982,-0.008471811,0.0116848463,0.0104323711,-0.003255544,0.0274842817,0.0224723443,0.0120144985,0.0427929283,0.0147078485,0.0103336196
10/1982,0.2031251698,0.1177018929,0.1279506913,0.1227388006,0.0896147682,0.1193261367,0.0811998067,0.0954056156,0.0968229872,0.110048618
11/1982,0.1254600427,0.0718101345,0.0560054665,0.0717322352,0.0387829657,0.0265217582,0.0171668347,0.030350863,0.0209639983,0.0253089561
12/1982,-0.042284645,-0.021869148,0.0330084693,0.0395800275,0.0216299811,0.0119278782,0.0241677235,0.0230979846,0.0303182905,0.0049065958
01/1983,0.0683055754,0.0202672716,0.017548465,0.0307551346,0.040124913,0.034951353,0.0954748466,0.0184040124,0.0305912583,0.0405205126
02/1983,0.0396539618,0.0553714847,0.0467667346,0.0248300565,0.0352120613,0.0141266526,0.0178254115,0.0239357756,0.0065584832,0.0221776902
03/1983,0.0086160255,0.0301661051,0.0464904492,0.0241234143,0.0330302723,0.0352092377,0.0646775524,0.0593401176,0.0110684708,0.0160447067
04/1983,0.0700646416,0.0614278181,0.060674523,0.0903126092,0.0722820418,0.0924143443,0.0999263025,0.0575503101,0.0619639844,0.0696907459
05/1983,0.0257121302,0.0278694594,0.0183722509,-0.00034998,-0.013276906,-0.020467981,-0.019007649,-0.000539836,0.026074749,0.0385084118
06/1983,0.0489479823,0.0511631557,0.0352492753,0.0258529195,0.0529863702,0.0332942987,0.0487835901,0.0566906847,0.0291550006,0.0090852935
07/1983,-0.047993112,-0.065620605,-0.039005634,-0.041213938,-0.028581953,-0.030124236,-0.020516863,0.0052022624,-0.032946892,-0.020841898
08/1983,-0.001463209,-0.011386544,0.0071255948,0.0195174604,0.0047835089,0.0463234439,-0.001427884,0.0132056335,0.0285242627,0.0206976145
09/1983,-0.002490029,0.0208818369,0.0245447235,-0.017328496,0.0101253764,0.014516939,0.0230211343,0.0123357648,0.030680221,0.0274988763
10/1983,-0.051906815,-0.043302765,-0.026621911,-0.022005365,-0.004267558,-0.000905756,-0.010375823,-0.023637537,-0.012606983,0.0018212884
11/1983,0.0685684088,0.0396433528,0.0169547802,0.0448453039,0.0149563505,0.0371600131,-0.020247394,0.0404046784,0.0234019336,0.0277020859
12/1983,-0.028302835,-0.014754146,-0.01717972,0.0077827489,-0.010023794,-0.006270264,-0.001239492,-0.005695542,-0.011855406,-0.005744645
01/1984,-0.043997598,-0.024781048,0.0057274872,-0.001308944,0.0063537431,-0.019380529,-0.011152915,-0.021008167,-0.011308809,-0.012678232
02/1984,-0.027914632,-0.055174195,-0.039570755,-0.051873514,-0.004926878,-0.036707531,-0.029345012,-0.043159445,-0.047221096,-0.042124118
03/1984,0.0286390304,0.0329106067,0.005142626,0.0156872368,0.0229265414,-0.011805561,0.018304379,0.0258052457,0.0354794555,0.0300103817
04/1984,0.0022272885,0.0130330796,-0.004871874,0.0093861047,0.0103316019,0.0150376999,0.0173402997,-0.008857904,0.0111577937,-0.003331716
05/1984,-0.070275485,-0.057926243,-0.0624279,-0.065858488,-0.036669089,-0.063153416,-0.03204727,-0.047520645,-0.052380058,-0.051641895
06/1984,0.0120631891,0.0145754119,0.0273485765,0.0291512919,0.0319456554,0.0152248872,0.0602908597,0.0037772867,0.0221088226,0.0107169261
07/1984,-0.033128666,-0.009635329,-0.00891302,-0.021205104,-0.019567431,0.006357648,-0.028214525,-0.020547909,-0.018732743,-0.033004308
08/1984,0.1274517829,0.117430115,0.111142426,0.1148198658,0.1210344729,0.1214725795,0.0977095091,0.1133319511,0.1055834245,0.1180361763
09/1984,-0.010756201,-0.014279166,-0.022535799,0.0050732224,0.0091444218,-0.000193989,0.0127492163,0.0112285012,0.0070308662,0.0054181014
10/1984,0.0032845917,0.0066468,0.0075939207,0.0085245805,0.0059018771,0.0077448362,-0.018337158,-0.003413897,0.0126456391,-0.00592232
11/1984,-0.028249603,-0.020766169,-0.013601018,-0.020973647,-0.016683986,-0.007596729,0.0102635282,0.0042066848,0.0075641293,0.0108184132
12/1984,0.0399738011,0.0112439276,0.0323359277,0.0300108818,0.0198592516,0.0259412394,0.0041152003,0.0338652885,0.027516302,0.0283343148
01/1985,0.1145654943,0.1010860433,0.0873507603,0.0796184311,0.061291356,0.0909620082,0.0818279672,0.0769729263,0.0710004465,0.0665091344
02/1985,0.004991207,0.009108879,0.0066015231,0.0064421311,0.017988513,0.0293474863,0.0274539856,0.0301028956,0.0242494456,0.016884717
03/1985,-0.023454104,-0.007952823,-0.005322049,0.007321813,0.0051923962,-0.010612433,-0.007792058,-0.000415411,0.0180073772,-0.008849771
04/1985,-0.034054801,-0.013846136,-0.003574018,0.0146471745,0.0071113428,0.001974785,-0.024360955,-0.009687259,-0.002211888,0.0051940245
05/1985,0.0584837503,0.0513168314,0.0733520885,0.0589401572,0.0726609407,0.0438927137,0.0607753926,0.0833052536,0.0488220963,0.0850355385
06/1985,0.0179160178,0.0209189949,0.0132276687,0.0005245101,0.0129498288,0.0216691087,0.0220368519,0.0178790119,0.0215642225,0.0175711703
07/1985,0.0209796555,0.0094890112,-0.012267436,0.0026214496,0.0066502167,-0.01607255,-0.013856559,-0.022761244,-0.009084295,-0.010282576
08/1985,-0.019719061,-0.017101389,0.0051463213,-0.003400067,-0.002748296,-0.009619711,0.0036870942,0.0001826387,0.0019522846,-0.011123125
09/1985,-0.047119338,-0.050332831,-0.034192896,-0.033645709,-0.030126758,-0.038700461,-0.041700486,-0.030566771,-0.036889689,-0.041883167
10/1985,0.0436669087,0.0526016983,0.0564642871,0.0495315822,0.0612958837,0.0334165318,0.035601014,0.0293092791,0.0367282931,0.0583341978
11/1985,0.0828418727,0.0786349822,0.0775068116,0.0721262042,0.0652464454,0.0670952213,0.0756286378,0.0812886495,0.0683583247,0.0604547456
12/1985,0.0471144829,0.0471018223,0.0755698941,0.0280002151,0.0431285253,0.0478296199,0.034571901,0.0439283788,0.0429006853,0.0462432677
01/1986,0.0357411224,0.0205413058,0.0169620844,-0.013537545,0.0110842742,0.0014916792,-0.02870326,0.0291353442,0.02913144,0.023506872
02/1986,0.0800922926,0.089222349,0.0913991086,0.0888474065,0.0551752496,0.0559756444,0.0887268309,0.0880421636,0.078794547,0.0890235253
03/1986,0.0256819882,0.0763386283,0.068577726,0.0523177699,0.0721443182,0.0335246976,0.0596512893,0.0449839948,0.0437343065,0.0623035706
04/1986,-0.000044118,-0.027986215,-0.005734739,-0.006549991,-0.016050347,-0.005679666,-0.027775248,-0.039233874,-0.018378486,-0.019054963
05/1986,0.0375975604,0.0612814251,0.0536602808,0.061629734,0.065751356,0.023202458,0.0456223516,0.0441499524,0.0647066489,0.0611521534
06/1986,0.0138145132,0.0255498889,0.0290768527,0.0184174197,0.0111435918,-0.002084432,0.0184115436,0.0062299847,0.0264844557,0.0113038773
07/1986,-0.081506919,-0.051042956,-0.042816229,-0.053643746,-0.038396854,-0.050112166,-0.059065407,-0.082920561,-0.07134433,-0.047339617
08/1986,0.0895412457,0.0658367553,0.0774774014,0.0728316379,0.0845102085,0.0661175329,0.0827364209,0.0797379833,0.0523573931,0.0579061099
09/1986,-0.066552625,-0.077053546,-0.069934093,-0.111091307,-0.082697146,-0.078037464,-0.094308403,-0.088567968,-0.099236427,-0.059242609
10/1986,0.0569642177,0.045935656,0.0695616937,0.0658547011,0.0554423087,0.0328280933,0.0749840658,0.0441575412,0.0446760236,0.0378882057
11/1986,0.0158117297,0.0276706537,0.0282155372,0.0234460497,0.0309358188,0.0072012584,0.0085521381,-0.006037171,0.0153795214,0.0068962134
12/1986,-0.024426742,-0.01081441,-0.01992712,-0.030307047,-0.026516766,-0.020246019,-0.035867374,-0.045164462,-0.022779994,-0.02485384
01/1987,0.1263365541,0.1623815375,0.1271905015,0.1595001707,0.114782851,0.1247995291,0.1002622855,0.1208436439,0.1256511832,0.1165558777
02/1987,0.0976401103,0.0545750637,0.0382950025,0.0210853202,0.0561983897,0.0113356744,0.0402074357,0.0541115446,0.049946677,0.0422545417
03/1987,0.0204419911,0.0122333936,0.0178727746,0.0240617195,0.0336806033,0.0236091127,0.0431149119,0.0303692365,-0.007038627,0.0420600911
04/1987,0.0029677232,-0.008356748,-0.011623458,0.0126476163,-0.025983883,-0.003036797,-0.019348377,-0.026228418,-0.055605127,-0.023498233
05/1987,-0.016752652,0.0035964754,-0.005861295,0.0177715677,-0.003511064,0.0206040995,0.0045862322,-0.000099861,-0.006379373,0.0027907092
06/1987,0.0342299963,0.0431446781,0.0495206907,0.0410384173,0.0467463644,0.0601664859,0.052348882,0.088442767,0.040558984,0.0518102946
07/1987,0.0213457422,0.036017537,0.044162332,0.0512005514,0.0297733787,0.0701950245,0.0543944047,0.0403896985,0.0365535886,0.0394634312
08/1987,0.044879602,0.0339314289,0.0358757494,0.0504400379,0.03551534,0.0468277937,0.048957678,0.03053731,0.0337435017,0.0176289974
09/1987,0.0008550524,-0.02879037,-0.016191218,0.0003782618,-0.021951197,-0.028223101,-0.049703307,-0.024303042,-0.011920432,-0.018315343
10/1987,-0.209004167,-0.205840409,-0.236918864,-0.238492118,-0.199230107,-0.220634998,-0.192394217,-0.242420782,-0.249532951,-0.236768695
11/1987,-0.058147327,-0.066700133,-0.065900222,-0.075936125,-0.086010107,-0.083552161,-0.094867416,-0.057010604,-0.061308296,-0.060066881
12/1987,0.0758705096,0.0535790173,0.0650390732,0.074073556,0.0672594207,0.0701616894,0.0974637665,0.0543729727,0.1029288126,0.1012936782
01/1988,0.0406966496,0.0604502856,0.0255268334,0.0367232253,0.0509557438,0.0531944829,0.0210088295,0.0425337081,0.0426629131,0.0473962767
02/1988,0.0356564385,0.0206431738,0.0501161833,0.0488328458,0.0440594194,0.0456147953,0.0604268152,0.0670960488,0.0592995643,0.06680275
03/1988,0.0000555507,-0.003838522,-0.030114006,-0.044185775,-0.019658542,-0.040485343,-0.023288286,-0.009788515,0.0090794289,0.0016073892
04/1988,0.0124564504,-0.002617969,0.0147182667,0.0288932917,0.0008680336,-0.006170505,-0.007535125,-0.003583575,0.0069139178,0.0085468453
05/1988,-0.005720862,0.0167094954,0.0097856444,0.0043311508,0.0099290412,0.0094123055,0.0149407602,-0.01441998,-0.019280089,-0.027147438
06/1988,0.0545659797,0.0431456026,0.066707049,0.0360657909,0.0570582898,0.032395514,0.0522303202,0.0801607094,0.0662490549,0.059041259
07/1988,-0.017171624,-0.020896965,-0.010557392,-0.0079905,0.0020216845,0.0050836302,-0.006134079,-0.021884606,-0.027935492,-0.015779679
