date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,343162525,,,,,,,,10437980,32681946
08/1963,342117419,,,,,,,,10823376,32384247
09/1963,358735363,,,,,,,523455,13188353,31920882
10/1963,353780253,,,,,,,2379383,10943431,31614926
11/1963,363807008,,,,,,,3189062,11078748,31150013
12/1963,357851200,,,,,,,3539360,10679134,30568653
01/1964,366297571,,,,,,,3942508,11378108,31094540
02/1964,377284917,,,,,,,4641912,10619049,32874096
03/1964,383255709,,,,,,,5061912,10865221,33270203
04/1964,389237026,,,,,,,5301179,12153981,32818433
05/1964,390645338,,,,,,,5662822,13459152,33200017
06/1964,394631604,,,,,,,6544441,13679644,33810342
07/1964,400516601,,,,,,,6749923,34869936,12755695
08/1964,408776456,,,,,,,6733092,35491733,13517575
09/1964,402369483,,,,,,,6998024,34302632,13319559
10/1964,413325592,,,,,,,7382452,35213606,14505929
11/1964,416409996,,,,,,,8004250,34183483,15198705
12/1964,412847195,,,,,,,8267587,33751324,15416813
01/1965,417759531,,,,,,,8305601,33822826,15800988
02/1965,432312401,,,,,,,10036164,34232570,17155980
03/1965,432046951,,,,,,,10371387,34880678,18128515
04/1965,426642948,,,,,,,10418511,34816522,19261765
05/1965,441150189,,,,,,,10846955,36038787,19830978
06/1965,437147703,,,,,,,11142461,37271971,18785250
07/1965,415439259,,,,,,,10358575,34692481,17015548
08/1965,421385910,,,,,,,11396928,35378671,17078171
09/1965,430833963,,,,,,,12332713,37301601,17313728
10/1965,444286445,,,,,,,13336828,37511856,17574436
11/1965,456139463,,,,,,,18258685,35030629,18100295
12/1965,452582996,,,,,,,19452093,34923830,18794977
01/1966,460799976,,,,,,181090,20540142,35980532,19524414
02/1966,463359439,,,,,,287365,20862804,38074955,20185245
03/1966,455503870,,,,,,291103,21214743,38315303,20394287
04/1966,444069875,,,,,,554566,21227541,37597527,19864928
05/1966,453245863,,,,,,2527797,21117950,38005625,20532536
06/1966,428051978,,,,,,3766137,18640987,36378751,18913474
07/1966,422105207,,,,,,4908105,18688961,36243931,17921370
08/1966,417023649,,,,,,5808924,19501609,37127350,14039506
09/1966,384794607,,,,,,5443627,17290245,33645484,13093076
10/1966,381564049,,,,,,5382794,16964468,33213363,12934394
11/1966,400669442,,,,,,5722945,16568677,32931881,13061172
12/1966,401956503,,,,,,5982032,39593397,12878461,14215605
01/1967,405460114,,,,,,6400531,40629619,13323545,15370228
02/1967,436662661,,,,,,6881977,45853939,16008249,16719073
03/1967,437111524,,,,,,7455900,46944751,16860402,17922900
04/1967,454075250,,,,,,7696567,49366877,18096141,19198088
05/1967,471848798,,,,,,8633511,50408234,19309706,20782331
06/1967,447945503,,,,,,9002160,48498492,19487850,19680889
07/1967,456790523,,,,,,9167303,50205499,20123898,21882407
08/1967,476689072,,,,,,10152557,52089079,21429349,23552225
09/1967,471319966,,,,,,10712073,50146893,22647645,22808112
10/1967,482412812,,,,,,11699445,51357615,24847966,23944768
11/1967,467533709,,,,,,11774993,50082401,25305564,23928517
12/1967,467760097,,,,,,11580807,50253074,26339962,24092499
